RAM 2131/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,0%@102,3%@102,2%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6818/6155 POM_5V_GPU 4321/3677 POM_5V_CPU 122/140
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,1%@204,3%@204,2%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@30.75C POM_5V_IN 6818/6180 POM_5V_GPU 4280/3700 POM_5V_CPU 122/139
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,0%@102,4%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6818/6202 POM_5V_GPU 4239/3719 POM_5V_CPU 122/139
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,0%@204,5%@204,1%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6889/6226 POM_5V_GPU 4239/3737 POM_5V_CPU 122/138
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,3%@102,6%@102,4%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6930/6249 POM_5V_GPU 4239/3754 POM_5V_CPU 122/137
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,0%@102,4%@102,0%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.25C POM_5V_IN 6900/6270 POM_5V_GPU 4205/3768 POM_5V_CPU 122/137
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,1%@204,5%@204,2%@204] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32C POM_5V_IN 6889/6290 POM_5V_GPU 4321/3785 POM_5V_CPU 122/136
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@102,4%@102,1%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6859/6307 POM_5V_GPU 4362/3803 POM_5V_CPU 122/136
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,1%@102,3%@102,3%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.5C POM_5V_IN 6859/6323 POM_5V_GPU 4199/3815 POM_5V_CPU 122/136
RAM 2132/3964MB (lfb 63x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,3%@102,3%@102] EMC_FREQ 39%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@30.75C POM_5V_IN 6778/6336 POM_5V_GPU 4239/3827 POM_5V_CPU 122/135
