RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,8%@102,1%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34.5C POM_5V_IN 6090/6400 POM_5V_GPU 4232/4375 POM_5V_CPU 123/138
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,7%@204,1%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32C AO@44C thermal@34.5C POM_5V_IN 6017/6391 POM_5V_GPU 4197/4370 POM_5V_CPU 123/138
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,7%@204,3%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6017/6382 POM_5V_GPU 4156/4365 POM_5V_CPU 164/139
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,4%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6058/6375 POM_5V_GPU 4238/4363 POM_5V_CPU 123/138
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,8%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6131/6369 POM_5V_GPU 4273/4361 POM_5V_CPU 123/138
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,7%@102,2%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@43.5C thermal@34.25C POM_5V_IN 6296/6368 POM_5V_GPU 4314/4360 POM_5V_CPU 123/138
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,4%@102,5%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34C POM_5V_IN 6337/6367 POM_5V_GPU 4314/4359 POM_5V_CPU 123/137
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,6%@102,5%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34.5C POM_5V_IN 6337/6366 POM_5V_GPU 4273/4357 POM_5V_CPU 123/137
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,3%@102,7%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6172/6362 POM_5V_GPU 4273/4355 POM_5V_CPU 123/137
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,3%@102,6%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6255/6360 POM_5V_GPU 4314/4354 POM_5V_CPU 123/136
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,3%@204,5%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@43.5C thermal@34.25C POM_5V_IN 6131/6356 POM_5V_GPU 4238/4352 POM_5V_CPU 123/136
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,7%@102,3%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34.25C POM_5V_IN 5976/6348 POM_5V_GPU 4156/4348 POM_5V_CPU 123/136
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,9%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6017/6342 POM_5V_GPU 4156/4345 POM_5V_CPU 123/136
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,3%@204,8%@204,4%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6172/6339 POM_5V_GPU 4314/4344 POM_5V_CPU 123/135
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,9%@102,4%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6255/6337 POM_5V_GPU 4314/4343 POM_5V_CPU 123/135
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,7%@102,1%@102] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6172/6334 POM_5V_GPU 4273/4342 POM_5V_CPU 123/135
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@204,5%@204,6%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32.5C AO@44C thermal@34.25C POM_5V_IN 6255/6333 POM_5V_GPU 4273/4341 POM_5V_CPU 123/135
RAM 1831/3964MB (lfb 71x4MB) SWAP 476/1982MB (cached 27MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,6%@204,4%@204] EMC_FREQ 12%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@35.5C PMIC@50C GPU@32.5C AO@44C thermal@34.5C POM_5V_IN 6604/6338 POM_5V_GPU 4396/4342 POM_5V_CPU 123/134
