RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,3%@102,0%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31C PMIC@50C GPU@30C AO@38.5C thermal@30.25C POM_5V_IN 4401/6184 POM_5V_GPU 2183/3771 POM_5V_CPU 125/135
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,4%@102,4%@102] EMC_FREQ 33%@1600 GR3D_FREQ 77%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@32.25C POM_5V_IN 5349/6157 POM_5V_GPU 3105/3749 POM_5V_CPU 124/134
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,4%@102,0%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@32C POM_5V_IN 6471/6167 POM_5V_GPU 4055/3759 POM_5V_CPU 123/134
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@204,3%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@30.5C POM_5V_IN 6522/6178 POM_5V_GPU 4055/3768 POM_5V_CPU 122/134
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,4%@102,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6481/6187 POM_5V_GPU 4136/3779 POM_5V_CPU 122/133
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,4%@102,3%@102,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 6553/6197 POM_5V_GPU 4253/3792 POM_5V_CPU 122/133
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,2%@204,4%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@31.25C POM_5V_IN 6481/6205 POM_5V_GPU 4218/3804 POM_5V_CPU 122/133
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,3%@102,1%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32C POM_5V_IN 6625/6216 POM_5V_GPU 4328/3818 POM_5V_CPU 122/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@204,4%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 6889/6234 POM_5V_GPU 4321/3831 POM_5V_CPU 122/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,3%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@39.5C thermal@32.25C POM_5V_IN 5672/6219 POM_5V_GPU 3188/3815 POM_5V_CPU 124/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,4%@102,1%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31.5C PMIC@50C GPU@30C AO@38C thermal@32.25C POM_5V_IN 4324/6172 POM_5V_GPU 2057/3771 POM_5V_CPU 126/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,4%@204,0%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@32.25C POM_5V_IN 5349/6152 POM_5V_GPU 3147/3756 POM_5V_CPU 165/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,7%@102,0%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32.25C POM_5V_IN 6553/6162 POM_5V_GPU 4014/3762 POM_5V_CPU 123/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,5%@102,0%@102] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32.25C POM_5V_IN 6440/6168 POM_5V_GPU 4096/3770 POM_5V_CPU 122/132
RAM 2311/3964MB (lfb 66x4MB) SWAP 438/1982MB (cached 25MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@204,6%@204,1%@204] EMC_FREQ 33%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@30.75C POM_5V_IN 6471/6175 POM_5V_GPU 4212/3780 POM_5V_CPU 122/132
