RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@204,1%@204,6%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.5C POM_5V_IN 7052/6778 POM_5V_GPU 4843/4593 POM_5V_CPU 162/142
RAM 2364/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7204/6790 POM_5V_GPU 5039/4605 POM_5V_CPU 121/141
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,3%@204,2%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@32.25C POM_5V_IN 7233/6802 POM_5V_GPU 5039/4617 POM_5V_CPU 203/143
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 7204/6812 POM_5V_GPU 4917/4625 POM_5V_CPU 121/142
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,0%@102,5%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 7123/6820 POM_5V_GPU 4998/4635 POM_5V_CPU 122/142
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,1%@204,4%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@33.5C PMIC@50C GPU@31C AO@40C thermal@32.25C POM_5V_IN 5557/6788 POM_5V_GPU 3239/4600 POM_5V_CPU 124/141
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@403,2%@403,2%@403,4%@403] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@34C POM_5V_IN 6131/6772 POM_5V_GPU 4067/4587 POM_5V_CPU 123/141
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,2%@102,3%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34.25C POM_5V_IN 6778/6773 POM_5V_GPU 4688/4589 POM_5V_CPU 122/140
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,5%@102] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32.75C POM_5V_IN 7012/6778 POM_5V_GPU 4803/4594 POM_5V_CPU 122/140
RAM 2365/3964MB (lfb 50x4MB) SWAP 474/1982MB (cached 28MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@204,0%@204,3%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7204/6788 POM_5V_GPU 4998/4603 POM_5V_CPU 121/139
