RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.75C POM_5V_IN 6245/6773 POM_5V_GPU 4184/4630 POM_5V_CPU 123/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@32.5C AO@41.5C thermal@33.75C POM_5V_IN 6255/6754 POM_5V_GPU 3915/4604 POM_5V_CPU 123/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,0%@204,1%@204,3%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@33.75C POM_5V_IN 6971/6761 POM_5V_GPU 4851/4613 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,3%@102,1%@102,10%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33C POM_5V_IN 7012/6770 POM_5V_GPU 4851/4621 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,4%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44.5C thermal@31.75C POM_5V_IN 7052/6779 POM_5V_GPU 4965/4632 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,2%@102,1%@102,7%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32C POM_5V_IN 7093/6789 POM_5V_GPU 4965/4643 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,4%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@36C PMIC@50C GPU@32C AO@43.5C thermal@32C POM_5V_IN 6941/6794 POM_5V_GPU 4769/4647 POM_5V_CPU 122/126
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,2%@204,1%@204,6%@204] EMC_FREQ 24%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@32C POM_5V_IN 5944/6768 POM_5V_GPU 3950/4626 POM_5V_CPU 123/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,0%@204,2%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@33.25C POM_5V_IN 6870/6771 POM_5V_GPU 4580/4624 POM_5V_CPU 122/125
RAM 2189/3964MB (lfb 62x4MB) SWAP 466/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,1%@204,1%@204,4%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.25C POM_5V_IN 6971/6777 POM_5V_GPU 4810/4630 POM_5V_CPU 122/125
