RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,5%@204,5%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5944/6357 POM_5V_GPU 3390/3934 POM_5V_CPU 124/130
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,5%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@30C POM_5V_IN 6440/6360 POM_5V_GPU 4055/3939 POM_5V_CPU 123/130
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,2%@204,3%@204,4%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 6522/6366 POM_5V_GPU 4259/3950 POM_5V_CPU 122/130
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,3%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31C PMIC@50C GPU@30.5C AO@38.5C thermal@30.75C POM_5V_IN 5283/6329 POM_5V_GPU 2870/3913 POM_5V_CPU 124/129
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,4%@204,3%@204,6%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.75C POM_5V_IN 6450/6333 POM_5V_GPU 3856/3911 POM_5V_CPU 123/129
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,2%@102,6%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@31.5C POM_5V_IN 6635/6343 POM_5V_GPU 4294/3923 POM_5V_CPU 204/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@204,1%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@31C PMIC@50C GPU@29.5C AO@38C thermal@31.75C POM_5V_IN 5083/6303 POM_5V_GPU 2712/3885 POM_5V_CPU 125/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,5%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6399/6306 POM_5V_GPU 4014/3889 POM_5V_CPU 122/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,1%@102,5%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@41C thermal@30.25C POM_5V_IN 6409/6309 POM_5V_GPU 4061/3894 POM_5V_CPU 123/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,2%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@31C PMIC@50C GPU@29.5C AO@38C thermal@31.75C POM_5V_IN 4485/6257 POM_5V_GPU 2225/3847 POM_5V_CPU 125/131
RAM 2459/3964MB (lfb 43x4MB) SWAP 465/1982MB (cached 29MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,0%@204,8%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31C POM_5V_IN 6481/6263 POM_5V_GPU 4055/3852 POM_5V_CPU 123/130
