Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L5_F256_K5x5_3_K7x7_2_W20,5,9811978,1136349194,ConvNet,20,1577.8474576271187,217.0,0.0,12.13135593220339,75.77966101694915,24.59322033898305,25.0,50.0,42.53333333333333,33.54081632653061,6240.847457627118,3945.5254237288136,169.42372881355934,28.647058823529413,32.0,35.0,368210.0,232786.0,9996.0,2997.0,19.421226978302,77.67300633967301,3.335335335335335
convnet_L5_F256_K5x5_3_K7x7_2_W30,5,10375178,4118882314,ConvNet,30,1582.0677966101696,217.0,0.0,6.351694915254237,87.35593220338983,10.559322033898304,25.0,50.0,43.36842105263158,33.375,6103.728813559322,4213.728813559322,139.25423728813558,28.03703703703704,31.433333333333334,35.25,360120.0,248610.0,8216.0,1145.0,53.2750749588012,217.1266375545852,7.175545851528384
convnet_L5_F256_K5x5_3_K7x7_2_W40,5,11450378,9045889034,ConvNet,40,1584.033898305085,217.0,0.0,3.673728813559322,92.8135593220339,10.71186440677966,25.0,50.0,44.03333333333333,33.86309523809524,6498.64406779661,4612.474576271186,133.79661016949152,28.157894736842103,31.8,35.70967741935484,383420.0,272136.0,7894.0,557.0,107.5597405433654,488.57450628366246,14.172351885098744
convnet_L5_F256_K5x5_3_K7x7_2_W50,5,13037578,15917369354,ConvNet,50,1594.0,217.0,0.0,2.4788135593220337,97.54237288135592,10.728813559322036,25.0,50.0,44.81818181818182,34.26162790697674,6671.9152542372885,4791.406779661017,124.2542372881356,28.75,32.15384615384615,36.32142857142857,393643.0,282693.0,7331.0,338.0,177.8040957450866,836.3698224852071,21.68934911242604
convnet_L5_F256_K5x5_3_K7x7_2_W60,5,15136778,24733323274,ConvNet,60,1604.949152542373,217.0,0.0,1.915254237288136,97.47457627118644,11.64406779661017,25.0,50.0,44.85,34.25581395348837,6759.101694915255,4839.542372881356,122.1186440677966,28.82051282051282,32.42857142857143,36.333333333333336,398787.0,285533.0,7205.0,229.0,262.3135876655578,1246.8689956331878,31.46288209606987
convnet_L5_F256_K5x5_3_K7x7_2_W70,5,17747978,35493750794,ConvNet,70,1618.2586206896551,217.0,0.0,1.8189655172413792,98.56896551724138,11.758620689655173,25.0,50.0,44.96428571428572,34.244791666666664,6813.758620689655,4852.224137931034,122.74137931034484,28.86206896551724,32.458333333333336,36.354838709677416,395198.0,281429.0,7119.0,160.0,375.1890015602112,1758.93125,44.49375
convnet_L5_F256_K5x5_3_K7x7_2_W80,5,20871178,48198651914,ConvNet,80,1632.0,217.0,0.0,1.5892857142857142,94.58928571428572,12.696428571428571,25.0,50.0,44.625,34.43055555555556,6638.678571428572,4676.285714285715,124.39285714285714,28.96551724137931,32.5945945945946,36.43333333333333,371766.0,261872.0,6966.0,119.0,507.23516702651983,2200.6050420168067,58.53781512605042
convnet_L5_F256_K6x6_3_K7x7_2_W20,5,11234058,1337030922,ConvNet,20,1824.915254237288,217.0,0.0,12.169491525423728,81.44067796610169,14.627118644067796,25.0,50.0,42.369565217391305,32.83125,5702.101694915255,3652.864406779661,173.28813559322035,28.0,31.58823529411765,34.125,336424.0,215519.0,10224.0,2319.0,26.92125082015989,92.9361793876671,4.408796895213454
convnet_L5_F256_K6x6_3_K7x7_2_W30,5,11746058,4744698122,ConvNet,30,1586.033898305085,217.0,0.0,6.444915254237288,92.16949152542372,9.745762711864408,25.0,50.0,43.15625,33.37234042553192,6249.203389830508,4361.728813559322,137.64406779661016,27.964285714285715,31.64864864864865,35.114285714285714,368703.0,257342.0,8121.0,1032.0,57.4534654617309,249.3624031007752,7.869186046511628
convnet_L5_F256_K6x6_3_K7x7_2_W40,5,12770058,10386886922,ConvNet,40,1590.033898305085,217.0,0.0,3.546610169491525,92.28813559322032,10.457627118644067,25.0,50.0,43.78,33.73717948717949,6536.8983050847455,4638.610169491525,133.03389830508473,28.04,31.818181818181817,35.666666666666664,385677.0,273678.0,7849.0,506.0,117.6735234260559,540.8656126482214,15.51185770750988
