Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L9_F192_K5x5_W30_DWS,9,2065240,337230,305235010,dws,30,1641.8983050847455,159.0,0.0,12.96186440677966,88.37288135593221,21.338983050847457,25.0,50.0,39.61538461538461,31.236486486486488,5348.084745762712,3067.728813559322,299.0508474576271,26.88888888888889,29.90909090909091,32.81818181818182,315537.0,180996.0,17644.0,4208,14.7187089920043,43.01235741444867,4.192965779467681
convnet_L9_F192_K5x5_W40_DWS,9,3409240,337230,542640010,dws,40,1646.0,159.0,0.0,11.66101694915254,86.57627118644068,22.372881355932204,25.0,50.0,39.741379310344826,31.16145833333333,5340.118644067797,3092.71186440678,247.89830508474577,26.83333333333333,29.76315789473684,32.733333333333334,315067.0,182470.0,14626.0,2529,23.764333724975497,72.15104784499802,5.783313562672993
convnet_L9_F192_K5x5_W50_DWS,9,5137240,337230,847875010,dws,50,1655.322033898305,159.0,0.0,10.423728813559322,86.32203389830508,22.52542372881356,25.0,50.0,39.42105263157895,30.8265306122449,5263.813559322034,3042.8474576271187,214.32203389830508,26.875,29.666666666666668,32.2,310565.0,179528.0,12645.0,1613,37.7948760986328,111.30068195908245,7.839429634221947
convnet_L9_F192_K5x5_W60_DWS,9,7249240,337230,1220940010,dws,60,1668.0,159.0,0.0,10.09051724137931,89.03448275862068,23.36206896551724,25.0,50.0,39.3125,31.0,5368.827586206897,3145.758620689656,175.43103448275863,27.0,29.78787878787879,32.38461538461539,311392.0,182454.0,10175.0,1161,50.4730319976806,157.15245478036175,8.763996554694229
convnet_L9_F192_K5x5_W70_DWS,9,9745240,337230,1661835010,dws,70,1678.3859649122808,159.0,0.0,8.697368421052632,90.3859649122807,24.17543859649123,25.0,50.0,39.52941176470589,31.154761904761905,5399.403508771929,3206.964912280702,168.2280701754386,26.8125,29.83870967741936,32.851851851851855,307766.0,182797.0,9589.0,866,69.88925218582149,211.08198614318707,11.072748267898383
convnet_L9_F192_K5x5_W80_DWS,9,12625240,337230,2170560010,dws,80,1695.0,159.0,0.0,6.897321428571429,92.39285714285714,24.714285714285715,25.0,50.0,39.76923076923077,31.203125,5469.928571428572,3288.410714285714,152.71428571428572,26.857142857142858,29.846153846153847,32.81481481481482,306316.0,184151.0,8552.0,693,88.7683749198913,265.73015873015873,12.34054834054834
convnet_L9_F192_K5x5_W90_DWS,9,15889240,337230,2747115010,dws,90,1709.4745762711864,159.0,0.0,6.669491525423729,92.27118644067797,17.423728813559322,25.0,50.0,39.94827586206897,31.25,5338.610169491525,3314.830508474576,152.40677966101694,26.91176470588235,29.79310344827586,32.689655172413794,314978.0,195575.0,8992.0,574,103.2836651802063,340.7229965156794,15.665505226480835
convnet_L9_F192_K5x5_W100_DWS,9,19537240,337230,3391500010,dws,100,1728.0,159.0,0.0,5.990909090909091,94.0909090909091,25.10909090909091,25.0,50.0,39.75806451612903,31.081521739130437,5508.818181818182,3312.6363636363635,140.47272727272727,26.884615384615383,29.724137931034484,32.333333333333336,302985.0,182195.0,7726.0,447,133.3615684509277,407.5950782997763,17.284116331096197
convnet_L9_F256_K2x2_W10_DWS,9,4042265,537615,405843953,dws,10,1645.0,159.0,0.0,12.73728813559322,87.59322033898304,31.728813559322035,25.0,50.0,38.706896551724135,30.58510638297872,5294.9152542372885,2782.169491525424,283.8305084745763,26.94117647058824,29.133333333333333,32.095238095238095,312400.0,164148.0,16746.0,3943,15.964527130126902,41.63023078873954,4.24702003550596
convnet_L9_F256_K2x2_W20_DWS,9,6192665,537615,746411273,dws,20,1656.7457627118645,159.0,0.0,12.03813559322034,85.45762711864407,20.83050847457627,25.0,50.0,39.32142857142857,30.536585365853657,5175.3050847457625,2963.762711864407,246.135593220339,26.620689655172413,29.09523809523809,32.096774193548384,305343.0,174862.0,14522.0,2612,22.6150560379028,66.94563552833078,5.559724349157734
