Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_AO,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_THERMAL,Avrg_GPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K3x3_W85,2,19093258,4333612810,ConvNet,85,1730.033898305085,215.0,0.0,4.983050847457627,88.94915254237289,51.35593220338984,25.0,26.58823529411765,32.25,50.0,38.9,6104.3050847457625,3318.3898305084745,135.25423728813558,30.675,29.65217391304348,360154.0,195785.0,7980.0,984.0,59.8622465133667,198.96849593495935,8.109756097560975
convnet_L2_F256_K3x3_W95,2,23701258,5413267210,ConvNet,95,1750.2413793103449,215.0,0.0,4.258620689655173,92.20689655172414,52.3448275862069,25.0,26.653846153846157,32.23809523809524,50.0,39.32758620689656,6106.827586206897,3301.9310344827586,124.03448275862068,30.765,29.9,354196.0,191512.0,7194.0,851.0,70.5085682868957,225.04347826086956,8.45358401880141
convnet_L2_F256_K4x4_W45,2,6716426,2349068042,ConvNet,45,1666.9830508474577,215.0,0.0,7.2923728813559325,84.35593220338983,19.372881355932204,25.0,26.363636363636363,32.96551724137931,50.0,40.25757575757576,5582.135593220339,3492.542372881356,144.03389830508473,31.43888888888889,29.96969696969697,329346.0,206060.0,8498.0,1611.0,41.721889972686704,127.90813159528243,5.274984481688392
convnet_L2_F256_K4x4_W55,2,9378826,3455310602,ConvNet,55,1680.0169491525423,215.0,0.0,5.432203389830509,88.0,20.305084745762716,25.0,26.38095238095238,33.03333333333333,50.0,40.22727272727273,5742.169491525424,3643.728813559322,135.79661016949152,31.39,29.90625,338788.0,214980.0,8012.0,1152.0,51.4098334312439,186.61458333333334,6.954861111111111
convnet_L2_F256_K4x4_W65,2,12553226,4774340362,ConvNet,65,1692.0,215.0,0.0,4.366379310344827,92.43103448275862,21.13793103448276,25.0,26.0,33.0625,50.0,40.57142857142857,5956.586206896552,3832.879310344827,125.10344827586206,31.335227272727277,29.88888888888889,345482.0,222307.0,7256.0,861.0,68.4894275665283,258.19628339140536,8.427409988385598
convnet_L2_F256_K4x4_W75,2,16239626,6306157322,ConvNet,75,1710.0169491525423,215.0,0.0,4.072033898305085,92.01694915254237,21.372881355932204,25.0,26.181818181818183,33.26315789473684,50.0,40.59375,5980.4915254237285,3835.135593220339,140.64406779661016,31.21511627906977,29.75,352849.0,226273.0,8298.0,664.0,89.4825315475463,340.7725903614458,12.49698795180723
convnet_L2_F256_K4x4_W85,2,20438026,8050761482,ConvNet,85,1730.0,215.0,0.0,3.4364406779661016,96.42372881355932,21.661016949152543,25.0,26.26923076923077,33.32258064516129,50.0,40.59090909090909,6051.830508474576,3881.8813559322034,125.55932203389833,31.205,29.75,357058.0,229031.0,7408.0,529.0,114.133985042572,432.95085066162574,14.003780718336484
convnet_L2_F320_K2x2_W65,2,16545290,2101773770,ConvNet,65,1955.6949152542368,215.0,0.0,7.444915254237288,87.32203389830508,33.88135593220339,25.0,25.0,30.77777777777778,50.0,37.43103448275862,5370.983050847458,2922.983050847457,149.05084745762713,29.361702127659573,28.0,316888.0,172456.0,8794.0,1090.0,55.226457118988,158.2165137614679,8.06788990825688
convnet_L2_F320_K2x2_W70,2,18897290,2408349770,ConvNet,70,1967.677966101695,215.0,0.0,6.796610169491525,88.59322033898304,18.54237288135593,25.0,25.0,30.73913043478261,50.0,37.741379310344826,5041.3050847457625,3000.423728813559,149.52542372881356,29.351190476190474,27.975,297437.0,177025.0,8822.0,1095.0,56.943829059600795,161.66666666666666,8.05662100456621
convnet_L2_F320_K2x2_W75,2,21409290,2735789770,ConvNet,75,1977.0,215.0,0.0,6.88135593220339,84.89830508474576,18.508474576271187,25.0,25.03030303030303,30.615384615384617,50.0,37.72222222222222,5037.203389830508,3010.271186440678,145.98305084745763,29.33333333333333,27.84210526315789,297195.0,177606.0,8613.0,957.0,65.36812067031859,185.58620689655172,9.0
