Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_PLL,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F512_K2x2_W100,2,58584074,11915694602,ConvNet,100,2181.0,378.0,0.0,3.542372881355932,95.84745762711864,23.372881355932204,25.0,50.0,39.65151515151515,30.72596153846154,5971.8983050847455,3777.186440677966,127.10169491525424,32.25,29.464285714285715,25.939393939393938,352342.0,222854.0,7499.0,277,216.5558505058288,804.5270758122743,27.072202166064983
convnet_L2_F512_K4x4_W50,2,18064394,11421880842,ConvNet,50,1756.050847457627,377.0,0.0,2.8686440677966103,94.0,16.610169491525422,25.0,50.0,41.8448275862069,31.64102564102564,6274.830508474576,4241.220338983051,136.1864406779661,33.666666666666664,29.90322580645161,26.357142857142858,370215.0,250232.0,8035.0,431,138.7894701957702,580.584686774942,18.642691415313227
convnet_L2_F512_K4x4_W60,2,23901194,16237906442,ConvNet,60,1783.0,377.0,0.0,2.655172413793104,96.25862068965516,17.53448275862069,25.0,50.0,41.833333333333336,31.65909090909091,6424.5344827586205,4361.396551724138,122.3793103448276,33.53333333333333,29.794117647058822,26.058823529411764,372623.0,252961.0,7098.0,307,194.6136498451233,823.9771986970684,23.120521172638437
convnet_L2_F512_K4x4_W70,2,30761994,21898936842,ConvNet,70,1812.0,377.0,0.0,2.457627118644068,97.91525423728814,17.627118644067796,25.0,50.0,41.89473684210526,31.54375,6521.813559322034,4417.372881355932,128.4915254237288,33.53333333333333,29.966666666666665,26.08333333333333,384787.0,260625.0,7581.0,234,255.83260536193842,1113.7820512820513,32.3974358974359
convnet_L2_F512_K4x4_W80,2,38646794,28404972042,ConvNet,80,1845.0,377.0,0.0,2.266949152542373,96.72881355932203,11.76271186440678,25.0,50.0,41.888888888888886,31.5448717948718,6414.627118644068,4462.440677966101,139.83050847457628,33.861111111111114,29.8,26.0,378463.0,263284.0,8250.0,186,320.8971905708313,1415.505376344086,44.354838709677416
convnet_L2_F512_K4x4_W90,2,47555594,35756012042,ConvNet,90,1884.406779661017,377.0,0.0,2.2415254237288136,95.8813559322034,14.576271186440678,25.0,50.0,41.6,31.662790697674417,6046.762711864407,4100.64406779661,132.42372881355934,33.44117647058823,30.0,26.115384615384617,356759.0,241938.0,7813.0,148,406.7044496536255,1634.7162162162163,52.79054054054054
convnet_L2_F512_K4x4_W100,2,57488394,43952056842,ConvNet,100,1928.0,377.4310344827586,0.0,2.456896551724138,98.15517241379312,11.948275862068966,25.0,50.0,41.98275862068966,31.78125,6489.293103448276,4532.672413793103,130.13793103448276,33.91891891891892,30.0,26.08695652173913,376379.0,262895.0,7548.0,122,493.8234686851501,2154.877049180328,61.868852459016395
convnet_L2_F1024_K2x2_W50,2,36321290,13226054666,ConvNet,50,2077.0,357.0,0.0,2.75,96.72881355932203,20.47457627118644,25.0,50.0,38.42105263157895,29.102564102564106,6254.169491525424,4118.135593220339,129.20338983050848,30.53846153846154,27.916666666666668,24.071428571428573,368996.0,242970.0,7623.0,321,185.9555721282959,756.9158878504672,23.747663551401867
convnet_L2_F1024_K2x2_W60,2,48814090,18372289546,ConvNet,60,2127.0169491525426,357.0,0.0,2.9745762711864407,98.16949152542372,25.271186440677965,25.0,50.0,39.69444444444444,31.17222222222222,6454.983050847458,4214.271186440678,128.864406779661,31.964285714285715,29.24,25.620689655172413,380844.0,248642.0,7603.0,214,280.4326605796814,1161.8785046728972,35.52803738317757
convnet_L2_F1024_K2x2_W70,2,63354890,24362300426,ConvNet,70,2225.423728813559,357.0,0.0,1.9533898305084745,98.15254237288136,23.271186440677965,25.0,50.0,40.22222222222222,30.916666666666668,6409.8983050847455,4268.084745762712,123.42372881355932,32.69230769230769,29.6875,25.83870967741936,378184.0,251817.0,7282.0,166,364.0144777297973,1516.9698795180723,43.86746987951807
convnet_L2_F1024_K2x2_W80,2,79943690,31196087306,ConvNet,80,2369.593220338983,357.0,0.0,1.88135593220339,98.54237288135592,26.8135593220339,25.0,50.0,40.642857142857146,31.05,6515.525423728814,4268.796610169492,125.50847457627118,32.61764705882353,30.0,25.96153846153846,384416.0,251859.0,7405.0,129,464.4894623756408,1952.3953488372092,57.4031007751938
convnet_L2_F1024_K2x2_W90,2,98580490,38873650186,ConvNet,90,2529.864406779661,360.0,0.0,2.7288135593220337,97.84745762711864,25.983050847457623,25.0,50.0,40.86666666666667,31.157894736842103,6552.4915254237285,4278.406779661017,127.49152542372882,32.90909090909091,29.916666666666668,26.26086956521739,386597.0,252426.0,7522.0,105,572.2442698478699,2404.057142857143,71.63809523809523
