Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_AO,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_PLL,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L8_F256_K3x3_W40,8,8233738,6624460810,ConvNet,40,1732.050847457627,324.0,0.0,7.580508474576271,86.96610169491525,52.66101694915254,25.0,50.0,42.30487804878049,32.86764705882353,7248.271186440678,4503.406779661017,162.15254237288136,31.210526315789476,27.77777777777778,34.48571428571429,427648.0,265701.0,9567.0,1098,54.9847340583801,241.9863387978142,8.71311475409836
convnet_L8_F256_K2x2_W20,8,6796298,2322921482,ConvNet,20,1941.0,324.0,0.0,9.966101694915254,87.79661016949153,23.372881355932204,25.0,50.0,39.06666666666667,30.4,5643.6949152542375,3421.7966101694915,205.6271186440678,28.928571428571427,25.973684210526315,31.74074074074074,332978.0,201886.0,12132.0,1299,45.6771993637084,155.41647421093148,9.339491916859123
convnet_L8_F256_K2x2_W30,8,9305098,3796733962,ConvNet,30,1951.0,324.0,0.0,8.65677966101695,90.0677966101695,19.45762711864407,25.0,50.0,39.82,30.79861111111111,5891.779661016949,3810.5593220338974,177.64406779661016,29.41935483870968,26.08333333333333,32.464285714285715,347615.0,224823.0,10481.0,933,63.347606658935504,240.967845659164,11.233654876741694
convnet_L8_F256_K2x2_W40,8,12325898,5639084042,ConvNet,40,1967.0,324.0,0.0,7.915254237288136,91.0,18.64406779661017,25.0,50.0,40.26470588235294,31.01744186046512,5945.203389830508,3875.06779661017,163.0,29.79310344827586,26.03846153846154,32.6,350767.0,228629.0,9617.0,675,88.49417686462401,338.7096296296296,14.247407407407408
convnet_L8_F256_K2x2_W50,8,15858698,7849971722,ConvNet,50,1982.0,324.0,0.0,6.52542372881356,95.0,25.15254237288136,25.0,50.0,40.16666666666666,31.182291666666668,6077.593220338983,3777.288135593221,183.77966101694915,29.727272727272727,26.33333333333333,32.72,358578.0,222860.0,10843.0,505,119.43883180618279,441.3069306930693,21.47128712871287
convnet_L8_F256_K4x4_W20,8,9361418,4625546250,ConvNet,20,1704.0,324.0,0.0,7.262711864406779,90.47457627118644,12.559322033898304,25.0,50.0,42.40909090909091,32.392857142857146,6191.8983050847455,4222.322033898305,158.38983050847455,30.7948717948718,27.103448275862068,34.5,365322.0,249117.0,9345.0,1030,59.3524122238159,241.86116504854368,9.072815533980583
convnet_L8_F256_K4x4_W30,8,11051018,9038853130,ConvNet,30,1710.0,324.0,0.0,4.411016949152542,95.2542372881356,12.66101694915254,25.0,50.0,42.65151515151515,32.4,6360.762711864407,4414.135593220339,141.94915254237287,30.791666666666668,27.0,34.516129032258064,375285.0,260434.0,8375.0,582,102.3805212974548,447.4810996563574,14.390034364261169
convnet_L8_F512_K1x1_W30,8,12674570,2984095754,ConvNet,30,1963.0,324.0,0.0,8.779661016949152,90.9322033898305,39.86440677966102,25.0,50.0,39.73529411764706,31.116666666666667,5980.3050847457625,3424.1525423728813,200.5254237288136,29.96875,26.83333333333333,32.638888888888886,352838.0,202025.0,11831.0,987,62.200162410736,204.68591691995948,11.986828774062817
convnet_L8_F512_K1x1_W40,8,17896970,4645566474,ConvNet,40,1986.0677966101696,324.0,0.0,8.135593220338983,96.135593220339,42.54237288135593,25.0,50.0,38.42,30.880434782608692,5806.779661016949,3044.593220338983,172.74576271186442,29.772727272727277,26.60606060606061,31.714285714285715,342600.0,179631.0,10192.0,648,92.054796218872,277.2083333333333,15.728395061728396
convnet_L8_F512_K1x1_W50,8,24143370,6676189194,ConvNet,50,2011.0,324.0,0.0,6.406779661016949,91.23728813559322,34.96610169491525,25.0,50.0,40.13636363636363,31.044444444444444,6003.627118644068,3618.677966101695,154.3728813559322,29.647058823529413,26.266666666666666,32.592592592592595,354214.0,213502.0,9108.0,485,123.9166164398193,440.2103092783505,18.77938144329897
convnet_L8_F512_K1x1_W60,8,31413770,9075963914,ConvNet,60,2044.0,324.0,0.0,6.072033898305085,91.28813559322032,36.13559322033898,25.0,50.0,39.98484848484848,31.020408163265305,6085.593220338983,3666.135593220339,143.15254237288136,29.8,26.53333333333333,32.56666666666667,359050.0,216302.0,8446.0,362,165.513904094696,597.5193370165746,23.331491712707184
convnet_L8_F512_K3x3_W20,8,18581002,6615244810,ConvNet,20,1885.0,324.0,0.0,6.203389830508475,93.10169491525424,50.08474576271186,25.0,50.0,42.196969696969695,32.484042553191486,7294.237288135593,4562.050847457627,150.0677966101695,31.210526315789476,27.51851851851852,34.029411764705884,430360.0,269161.0,8854.0,813,73.67891311645499,331.07134071340715,10.890528905289052
convnet_L8_F512_K2x2_W10,8,13269002,4861173770,ConvNet,10,1964.8135593220336,324.0,0.0,7.266949152542373,92.72881355932203,21.322033898305083,25.0,50.0,40.16666666666666,31.405,5980.64406779661,3810.6949152542375,160.11864406779662,30.0,26.677419354838708,32.93939393939394,352858.0,224831.0,9447.0,701,86.9970631599426,320.7289586305278,13.476462196861625
convnet_L8_F512_K2x2_W20,8,17262602,9273733130,ConvNet,20,1980.0169491525423,324.0,0.0,5.711864406779661,91.22033898305084,22.54237288135593,25.0,50.0,41.30645161290322,31.755681818181817,6275.322033898305,4104.322033898305,150.47457627118644,30.44,26.73333333333333,33.06060606060606,370244.0,242155.0,8878.0,421,142.6538109779357,575.1900237529691,21.08788598574822
convnet_L8_F512_K4x4_W10,8,31047690,6728984586,ConvNet,10,1786.0,324.0,0.0,5.245762711864407,91.61016949152544,11.796610169491526,25.0,50.0,42.43103448275862,32.35106382978724,6181.64406779661,4239.0,128.38983050847455,30.72,27.096774193548388,34.114285714285714,364717.0,250101.0,7575.0,655,91.299352645874,381.83358778625956,11.564885496183207
convnet_L8_F1024_K1x1_W10,8,14273546,3063947274,ConvNet,10,1972.7627118644068,325.0,0.0,9.22457627118644,90.0677966101695,28.135593220338983,25.0,50.0,39.10526315789474,30.43617021276596,5770.101694915255,3425.830508474576,185.0677966101695,29.1,26.0,31.89655172413793,340436.0,202124.0,10919.0,921,64.8442888259887,219.4614549402823,11.855591748099892
convnet_L8_F1024_K1x1_W20,8,20622346,6745288714,ConvNet,20,1992.0,325.0,0.0,6.584745762711864,92.22033898305084,31.983050847457623,25.0,50.0,39.80303030303031,30.863636363636363,6087.796610169492,3690.35593220339,161.3050847457627,29.22222222222222,25.75757575757576,32.06896551724138,359180.0,217731.0,9517.0,483,125.14042854309079,450.7888198757764,19.70393374741201
convnet_L8_F1024_K3x3_W10,8,67120138,6610636810,ConvNet,10,2108.0169491525426,325.0,0.0,6.207627118644068,90.01694915254237,15.71186440677966,25.0,50.0,41.96666666666667,31.80813953488372,6600.9152542372885,4411.966101694915,141.57627118644066,30.0,26.55172413793104,33.67567567567568,389454.0,260306.0,8353.0,667,89.7009658813476,390.263868065967,12.523238380809595
convnet_L9_F64_K3x3_W90,9,5481226,2412633610,ConvNet,90,1713.0,322.0,0.0,11.084745762711863,82.77966101694915,36.067796610169495,25.0,50.0,39.388888888888886,31.13372093023256,5872.8983050847455,3390.35593220339,193.84745762711864,30.0,27.0,32.333333333333336,346501.0,200031.0,11437.0,2026,27.481675148010197,98.7319842053307,5.645113524185588
convnet_L9_F64_K3x3_W100,9,6697226,2978560010,ConvNet,100,1721.0,322.0,0.0,9.440677966101696,88.52542372881356,45.25423728813559,25.0,50.0,39.79032258064516,31.22872340425532,6013.542372881356,3354.186440677966,168.91525423728814,29.977272727272727,27.032258064516128,32.77272727272727,354799.0,197897.0,9966.0,1562,37.4427127838134,126.69462227912932,6.380281690140845
convnet_L9_F64_K4x4_W60,9,3574986,2268994506,ConvNet,60,1693.0,322.0,0.0,10.622881355932204,86.33898305084746,14.932203389830509,25.0,50.0,40.78125,31.43055555555556,5723.677966101695,3741.542372881356,170.40677966101694,30.0,26.97222222222222,33.08571428571429,337697.0,220751.0,10054.0,1814,34.359569549560504,121.69294377067254,5.5424476295479606
convnet_L9_F64_K4x4_W70,9,4522186,3014049226,ConvNet,70,1700.966101694915,322.0,0.0,9.30084745762712,85.33898305084746,15.66101694915254,25.0,50.0,40.693548387096776,31.467391304347824,5822.4915254237285,3857.2203389830506,162.47457627118644,29.775,26.692307692307693,33.13333333333333,343527.0,227576.0,9586.0,1434,41.985535621642995,158.70013947001394,6.684797768479777
convnet_L9_F64_K4x4_W80,9,5597386,3864819146,ConvNet,80,1710.0,322.0,0.0,7.851694915254237,89.37288135593221,16.508474576271187,25.0,50.0,41.11111111111112,31.51063829787234,5959.0,3955.152542372881,163.5593220338983,29.96875,26.8,33.193548387096776,351581.0,233354.0,9650.0,1140,52.1950101852417,204.6964912280702,8.464912280701755
convnet_L9_F64_K4x4_W90,9,6800586,4821304266,ConvNet,90,1716.2203389830509,322.0,0.0,6.165254237288136,92.61016949152544,17.423728813559322,25.0,50.0,41.2,31.86184210526316,6081.762711864407,4036.203389830509,150.23728813559322,30.235294117647054,26.892857142857142,33.32258064516129,358824.0,238136.0,8864.0,946,63.511614799499505,251.7293868921776,9.369978858350951
convnet_L9_F64_K4x4_W100,9,8131786,5883504586,ConvNet,100,1723.033898305085,322.0,0.0,6.169491525423729,93.3728813559322,11.76271186440678,25.0,50.0,41.670731707317074,32.23863636363637,6134.745762711865,4218.033898305085,147.76271186440678,30.466666666666665,27.03333333333333,34.11764705882353,361950.0,248864.0,8718.0,820,73.3859896659851,303.4926829268293,10.63170731707317
convnet_L9_F128_K3x3_W50,9,4384266,2963840010,ConvNet,50,1700.0,323.0,0.0,9.86864406779661,83.89830508474576,47.88135593220339,25.0,50.0,40.088235294117645,31.328125,6462.593220338983,3759.6101694915255,166.88135593220338,30.0,26.78125,32.689655172413794,381293.0,221817.0,9846.0,1717,34.6606087684631,129.18870122306348,5.734420500873616
convnet_L9_F128_K3x3_W60,9,5792266,4267929610,ConvNet,60,1707.3559322033898,323.0,0.0,10.029661016949152,83.37288135593221,45.49152542372882,25.0,50.0,41.0,31.88125,6629.016949152542,4021.186440677966,164.3728813559322,30.5625,27.25,33.32432432432432,391112.0,237250.0,9698.0,1515,38.4121799468994,156.6006600660066,6.401320132013201
convnet_L9_F128_K3x3_W70,9,7456266,5809126410,ConvNet,70,1715.4237288135594,323.0,0.0,7.728813559322034,86.9322033898305,46.72881355932204,25.0,50.0,41.59090909090909,32.14545454545455,6771.779661016949,4154.372881355932,163.3728813559322,30.857142857142858,27.57894736842105,33.61538461538461,399535.0,245108.0,9639.0,1125,53.0049729347229,217.87377777777778,8.568
convnet_L9_F128_K3x3_W80,9,9376266,7587430410,ConvNet,80,1727.033898305085,323.0,0.0,6.860169491525424,95.6271186440678,56.50847457627118,25.0,50.0,40.95454545454545,32.13068181818182,6786.152542372882,3912.152542372881,165.76271186440678,30.774193548387096,27.542857142857144,33.689655172413794,400383.0,230817.0,9780.0,944,63.743932247161794,244.50953389830508,10.360169491525424
convnet_L9_F128_K3x3_W90,9,11552266,9602841610,ConvNet,90,1741.033898305085,323.0,0.0,5.716101694915254,94.35593220338984,54.10169491525424,25.0,50.0,41.78947368421053,32.285714285714285,6907.576271186441,4139.0,139.0677966101695,30.97058823529412,27.84210526315789,33.93333333333333,407547.0,244201.0,8205.0,689,86.0146713256835,354.4281567489115,11.908563134978229
convnet_L9_F128_K2x2_W50,9,8116106,2360145290,ConvNet,50,1951.0,323.0,0.0,7.978813559322034,92.08474576271186,29.864406779661017,25.0,50.0,39.84285714285714,30.737179487179485,5879.152542372882,3450.491525423729,243.4067796610169,29.6875,26.47058823529412,32.38095238095238,346870.0,203579.0,14361.0,1276,46.7880296707153,159.54467084639498,11.254702194357368
convnet_L9_F128_K2x2_W60,9,10215306,3115370890,ConvNet,60,1962.0,323.0,0.0,7.576271186440678,91.15254237288136,21.372881355932204,25.0,50.0,39.97222222222222,30.723684210526315,5759.152542372882,3584.4406779661017,226.9152542372881,29.6,26.043478260869566,32.23076923076923,339790.0,211482.0,13388.0,1078,55.317018032073904,196.1799628942486,12.419294990723563
convnet_L9_F128_K2x2_W70,9,12570506,3976247690,ConvNet,70,1976.0,323.0,0.0,8.245762711864407,93.27118644067797,29.57627118644068,25.0,50.0,39.46428571428572,30.49418604651163,5710.576271186441,3361.3050847457625,183.57627118644064,29.2,26.103448275862068,31.76,336924.0,198317.0,10831.0,775,76.37696981430051,255.89290322580646,13.975483870967741
convnet_L9_F128_K2x2_W80,9,15181706,4942775690,ConvNet,80,1991.0,323.0,0.0,8.64406779661017,90.32203389830508,30.06779661016949,25.0,50.0,39.42307692307692,30.61875,5830.28813559322,3485.966101694916,172.10169491525423,29.35483870967742,26.074074074074076,32.07142857142857,343987.0,205672.0,10154.0,623,97.409496307373,330.131621187801,16.298555377207062
convnet_L9_F128_K2x2_W90,9,18048906,6014954890,ConvNet,90,2002.8474576271187,323.0,0.0,7.877118644067797,94.44067796610167,30.983050847457623,25.0,50.0,39.5,30.73170731707317,5991.169491525424,3617.491525423729,165.74576271186442,29.580645161290324,26.36,32.193548387096776,353479.0,213432.0,9779.0,527,113.78999471664419,404.9943074003795,18.555977229601517
