RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,0%@307,0%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33.25C POM_5V_IN 6747/6742 POM_5V_GPU 4818/4670 POM_5V_CPU 163/155
RAM 1813/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,1%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@33.25C POM_5V_IN 6870/6747 POM_5V_GPU 4784/4674 POM_5V_CPU 122/153
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@518,2%@518,1%@518,4%@518] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31C AO@43.5C thermal@33C POM_5V_IN 6829/6750 POM_5V_GPU 4899/4682 POM_5V_CPU 163/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,0%@307,0%@518,3%@518] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@32.5C POM_5V_IN 6213/6731 POM_5V_GPU 4108/4662 POM_5V_CPU 164/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33C POM_5V_IN 6859/6736 POM_5V_GPU 4940/4672 POM_5V_CPU 163/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31C AO@43.5C thermal@33.25C POM_5V_IN 6676/6734 POM_5V_GPU 4743/4674 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,1%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 6900/6739 POM_5V_GPU 4973/4683 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,0%@307,1%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@36C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 6788/6740 POM_5V_GPU 4859/4689 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,0%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@31C AO@40.5C thermal@33.25C POM_5V_IN 5829/6714 POM_5V_GPU 3627/4657 POM_5V_CPU 164/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [10%@307,1%@307,0%@307,4%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 6870/6718 POM_5V_GPU 4940/4665 POM_5V_CPU 122/154
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,0%@307,1%@307,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33C POM_5V_IN 6563/6714 POM_5V_GPU 4546/4662 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,0%@307,0%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33C POM_5V_IN 6900/6719 POM_5V_GPU 4981/4671 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,1%@307,0%@307,3%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@32.75C POM_5V_IN 6788/6721 POM_5V_GPU 4859/4676 POM_5V_CPU 163/155
RAM 1812/3964MB (lfb 93x4MB) SWAP 366/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,1%@307,5%@307] EMC_FREQ 14%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@33.5C POM_5V_IN 6604/6718 POM_5V_GPU 4389/4668 POM_5V_CPU 123/154
