RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,4%@518,1%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 7344/7529 POM_5V_GPU 4699/4722 POM_5V_CPU 162/139
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,0%@307,4%@307,2%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@32.75C POM_5V_IN 8467/7564 POM_5V_GPU 5528/4752 POM_5V_CPU 160/140
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,3%@403,2%@403] EMC_FREQ 51%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32.75C POM_5V_IN 7204/7551 POM_5V_GPU 4544/4745 POM_5V_CPU 162/141
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,0%@518,2%@518,0%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.75C POM_5V_IN 8386/7579 POM_5V_GPU 5488/4770 POM_5V_CPU 160/142
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,4%@307,1%@307] EMC_FREQ 51%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.5C POM_5V_IN 6900/7557 POM_5V_GPU 4321/4755 POM_5V_CPU 162/142
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,1%@307,4%@307,0%@307] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.75C POM_5V_IN 8346/7582 POM_5V_GPU 5448/4777 POM_5V_CPU 160/143
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,0%@403,3%@403,2%@403] EMC_FREQ 51%@1600 GR3D_FREQ 94%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@29.5C AO@41.5C thermal@32.75C POM_5V_IN 6481/7548 POM_5V_GPU 3966/4752 POM_5V_CPU 163/143
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,2%@403,2%@403,0%@403] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.5C POM_5V_IN 8319/7571 POM_5V_GPU 5377/4771 POM_5V_CPU 160/144
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,5%@518,1%@518] EMC_FREQ 51%@1600 GR3D_FREQ 68%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@32.5C POM_5V_IN 5746/7517 POM_5V_GPU 3462/4733 POM_5V_CPU 164/144
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,3%@518,1%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31C AO@42.5C thermal@32.75C POM_5V_IN 8199/7537 POM_5V_GPU 5256/4747 POM_5V_CPU 160/145
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@403,2%@403,3%@403,2%@403] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@32C PMIC@50C GPU@30C AO@39C thermal@32.75C POM_5V_IN 5241/7473 POM_5V_GPU 2944/4697 POM_5V_CPU 165/145
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,3%@518,4%@518,0%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 8171/7492 POM_5V_GPU 5265/4713 POM_5V_CPU 160/146
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,2%@518,4%@518,3%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@32.5C POM_5V_IN 5640/7443 POM_5V_GPU 3068/4669 POM_5V_CPU 166/146
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,3%@518,0%@518] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.75C POM_5V_IN 8091/7460 POM_5V_GPU 5224/4684 POM_5V_CPU 160/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@403,2%@403,3%@403,1%@403] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@32.25C POM_5V_IN 5870/7420 POM_5V_GPU 3266/4648 POM_5V_CPU 165/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,2%@204,5%@204,1%@204] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.5C POM_5V_IN 8051/7435 POM_5V_GPU 5184/4661 POM_5V_CPU 160/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,2%@102,2%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@31C AO@38.5C thermal@32.5C POM_5V_IN 5829/7397 POM_5V_GPU 3188/4626 POM_5V_CPU 124/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,1%@102,1%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43C thermal@32.25C POM_5V_IN 8091/7413 POM_5V_GPU 5224/4640 POM_5V_CPU 160/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,6%@102,0%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@32C PMIC@50C GPU@30C AO@39.5C thermal@32.25C POM_5V_IN 5366/7367 POM_5V_GPU 2907/4601 POM_5V_CPU 165/148
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,3%@102,0%@102] EMC_FREQ 52%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@32C POM_5V_IN 8199/7385 POM_5V_GPU 5337/4617 POM_5V_CPU 120/147
RAM 1931/3964MB (lfb 91x4MB) SWAP 361/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,3%@204,5%@204] EMC_FREQ 51%@1600 GR3D_FREQ 67%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@32C POM_5V_IN 5474/7344 POM_5V_GPU 3266/4588 POM_5V_CPU 165/147
