Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_CPU_TEMP,Avrg_GPU_TEMP,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L2_F256_K3x3_1_K7x7_1_W30,2,4949258,2179169290,ConvNet,30,1601.4237288135594,214.0,0.0,7.9491525423728815,83.57627118644068,10.796610169491526,25.0,25.705882352941178,50.0,30.88636363636364,5827.610169491525,3943.796610169492,142.40677966101694,32.592592592592595,29.11111111111111,40.08536585365854,343829.0,232684.0,8402.0,1822,32.6091027259826,127.70801317233808,4.611416026344676
convnet_L2_F256_K3x3_1_K7x7_1_W35,2,5678858,3097511690,ConvNet,35,1605.0,214.0,0.0,6.413793103448276,90.20689655172414,11.56896551724138,25.0,25.75,50.0,31.125,6094.689655172414,4190.344827586207,126.53448275862068,32.94871794871795,29.55172413793104,40.4,353492.0,243040.0,7339.0,1409,41.9492721557617,172.49112845990064,5.2086586231369765
convnet_L2_F256_K3x3_1_K7x7_1_W40,2,6536458,4176916490,ConvNet,40,1608.593220338983,214.0,0.0,5.296610169491525,88.33898305084746,13.576271186440678,25.0,25.87878787878788,50.0,31.00625,6056.559322033899,4095.169491525424,129.38983050847455,32.86206896551724,29.09523809523809,40.351851851851855,357337.0,241615.0,7634.0,1080,55.7247114181518,223.71759259259258,7.068518518518519
convnet_L2_F256_K3x3_1_K7x7_1_W45,2,7522058,5417383690,ConvNet,45,1615.0,214.0,0.0,4.241379310344827,91.65517241379312,12.775862068965518,25.0,25.678571428571427,50.0,31.114285714285717,6104.241379310345,4186.068965517241,123.0,33.0,29.130434782608692,40.55714285714286,354046.0,242792.0,7134.0,861,70.5642175674438,281.9883855981417,8.285714285714286
convnet_L2_F256_K3x3_1_K7x7_1_W50,2,8635658,6818913290,ConvNet,50,1621.0,214.0,0.0,3.698275862068965,91.01724137931036,13.637931034482758,25.0,25.73076923076923,50.0,31.18918918918919,6233.793103448276,4272.620689655172,122.96551724137932,33.21212121212121,29.484848484848484,40.81578947368421,361560.0,247812.0,7132.0,719,82.8196716308593,344.66203059805287,9.91933240611961
convnet_L2_F256_K3x3_1_K7x7_1_W55,2,9877258,8381505290,ConvNet,55,1627.0,214.0,0.0,3.3813559322033897,91.32203389830508,11.677966101694915,25.0,25.928571428571427,50.0,31.51744186046512,6425.3050847457625,4495.542372881356,124.69491525423727,33.891891891891895,29.8125,41.375,379093.0,265237.0,7357.0,599,99.23954963684079,442.79966611018364,12.282136894824708
convnet_L2_F256_K3x3_1_K7x7_1_W60,2,11246858,10105159690,ConvNet,60,1630.949152542373,214.0,0.0,3.110169491525424,93.55932203389833,14.0,25.0,25.967741935483872,50.0,31.377777777777776,6316.0,4343.559322033899,126.23728813559322,33.5,29.5,41.1875,372644.0,256270.0,7448.0,500,119.06774520874019,512.54,14.896
convnet_L2_F256_K3x3_1_K7x7_1_W65,2,12744458,11989876490,ConvNet,65,1641.1525423728813,214.0,0.0,2.7203389830508478,93.27118644067797,14.932203389830509,25.0,26.46875,50.0,31.864864864864863,6528.440677966101,4535.796610169492,132.47457627118644,33.921052631578945,30.0,41.892857142857146,385178.0,267612.0,7816.0,417,142.8176641464233,641.7553956834532,18.743405275779377
convnet_L2_F256_K3x3_1_K7x7_1_W70,2,14370058,14035655690,ConvNet,70,1646.0169491525423,214.0,0.0,2.461864406779661,93.94915254237289,14.47457627118644,25.0,26.060606060606062,50.0,31.63372093023256,6364.610169491525,4370.372881355932,125.49152542372882,33.875,29.90625,41.53225806451613,375512.0,257852.0,7404.0,363,166.1930871009826,710.33608815427,20.39669421487603
convnet_L2_F256_K3x3_1_K7x7_1_W75,2,16123658,16242497290,ConvNet,75,1654.6101694915253,214.0,0.0,2.2711864406779663,95.40677966101696,14.88135593220339,25.0,26.5,50.0,32.13586956521739,6694.728813559322,4705.559322033899,125.01694915254237,34.25,30.08695652173913,41.76923076923077,394989.0,277628.0,7376.0,316,188.9645028114318,878.5696202531645,23.341772151898734
