RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,2%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@31.25C POM_5V_IN 7890/7746 POM_5V_GPU 5104/4814 POM_5V_CPU 160/151
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,0%@518,2%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@32.75C POM_5V_IN 7041/7720 POM_5V_GPU 4267/4794 POM_5V_CPU 162/151
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.5C POM_5V_IN 8145/7735 POM_5V_GPU 5328/4813 POM_5V_CPU 160/152
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.25C POM_5V_IN 7822/7738 POM_5V_GPU 5032/4821 POM_5V_CPU 161/152
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,3%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33.25C POM_5V_IN 8293/7757 POM_5V_GPU 5440/4841 POM_5V_CPU 160/152
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@32.75C POM_5V_IN 8118/7768 POM_5V_GPU 5256/4855 POM_5V_CPU 160/153
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,3%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@32.75C POM_5V_IN 7454/7759 POM_5V_GPU 4503/4844 POM_5V_CPU 162/153
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,1%@307,2%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31C AO@43.5C thermal@32.5C POM_5V_IN 7672/7756 POM_5V_GPU 4919/4846 POM_5V_CPU 161/153
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@614,1%@614,1%@614,1%@614] EMC_FREQ 58%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 6543/7720 POM_5V_GPU 3797/4815 POM_5V_CPU 163/153
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,0%@518,0%@518,1%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 8038/7729 POM_5V_GPU 5216/4826 POM_5V_CPU 160/153
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@518,1%@518,0%@518,3%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.5C POM_5V_IN 7494/7723 POM_5V_GPU 4644/4821 POM_5V_CPU 161/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [6%@518,1%@518,0%@518,2%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33C POM_5V_IN 8145/7734 POM_5V_GPU 5328/4835 POM_5V_CPU 160/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,2%@307,0%@307,4%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 7862/7738 POM_5V_GPU 5032/4840 POM_5V_CPU 161/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,1%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@32.5C POM_5V_IN 8186/7749 POM_5V_GPU 5296/4852 POM_5V_CPU 160/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,1%@403,0%@403,2%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@32.75C POM_5V_IN 8010/7756 POM_5V_GPU 5104/4858 POM_5V_CPU 161/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,2%@518,3%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31.5C AO@41.5C thermal@34C POM_5V_IN 7425/7747 POM_5V_GPU 4422/4847 POM_5V_CPU 162/154
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,0%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@34C POM_5V_IN 7604/7744 POM_5V_GPU 4805/4846 POM_5V_CPU 161/155
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,1%@518,2%@518] EMC_FREQ 58%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@33.5C POM_5V_IN 6276/7710 POM_5V_GPU 3481/4815 POM_5V_CPU 204/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,1%@518,0%@518,1%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@33.5C POM_5V_IN 8010/7717 POM_5V_GPU 5184/4823 POM_5V_CPU 160/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,2%@307,1%@307,3%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43C thermal@33.75C POM_5V_IN 7442/7711 POM_5V_GPU 4684/4820 POM_5V_CPU 161/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,2%@307,1%@307,1%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32.75C POM_5V_IN 8186/7721 POM_5V_GPU 5368/4832 POM_5V_CPU 160/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [5%@403,1%@403,0%@403,2%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@32.75C POM_5V_IN 7998/7727 POM_5V_GPU 5176/4839 POM_5V_CPU 160/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,3%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@34C POM_5V_IN 7943/7731 POM_5V_GPU 5032/4843 POM_5V_CPU 161/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@32C AO@42.5C thermal@33.75C POM_5V_IN 7713/7731 POM_5V_GPU 4838/4843 POM_5V_CPU 161/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,1%@307,0%@307,2%@307] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31.5C AO@40.5C thermal@33.5C POM_5V_IN 6512/7707 POM_5V_GPU 3481/4816 POM_5V_CPU 164/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,1%@403,0%@403,2%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 7930/7711 POM_5V_GPU 5104/4821 POM_5V_CPU 160/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,2%@518,0%@518,5%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@31.5C AO@43C thermal@33.5C POM_5V_IN 7082/7699 POM_5V_GPU 4301/4811 POM_5V_CPU 162/157
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,2%@518,0%@518,1%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@33.25C POM_5V_IN 8186/7708 POM_5V_GPU 5328/4821 POM_5V_CPU 160/157
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@518,1%@518,0%@518,3%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@44C thermal@33C POM_5V_IN 7862/7711 POM_5V_GPU 5032/4825 POM_5V_CPU 161/157
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@518,1%@518,0%@518,2%@518] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 8333/7722 POM_5V_GPU 5440/4836 POM_5V_CPU 160/157
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,0%@403,0%@403,1%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 8199/7731 POM_5V_GPU 5256/4844 POM_5V_CPU 160/157
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@403,0%@403,0%@403,1%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43C thermal@33.5C POM_5V_IN 7644/7729 POM_5V_GPU 4765/4842 POM_5V_CPU 121/156
RAM 2163/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,3%@403,0%@403,2%@403] EMC_FREQ 58%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@43.5C thermal@33.5C POM_5V_IN 7604/7727 POM_5V_GPU 4846/4842 POM_5V_CPU 161/156
RAM 2164/3964MB (lfb 88x4MB) SWAP 447/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [4%@825,2%@825,2%@825,3%@825] EMC_FREQ 58%@1600 GR3D_FREQ 33%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30C AO@39.5C thermal@33.5C POM_5V_IN 5116/7683 POM_5V_GPU 2374/4801 POM_5V_CPU 249/158
