RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,2%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@31.75C POM_5V_IN 8010/7503 POM_5V_GPU 5104/4640 POM_5V_CPU 120/143
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,1%@102,2%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 7685/7509 POM_5V_GPU 4846/4646 POM_5V_CPU 121/142
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,2%@102,1%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32C PMIC@50C GPU@30C AO@38C thermal@32C POM_5V_IN 5283/7440 POM_5V_GPU 2745/4587 POM_5V_CPU 124/142
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,1%@204,3%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@31C AO@43C thermal@32C POM_5V_IN 8239/7464 POM_5V_GPU 5296/4608 POM_5V_CPU 120/141
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,0%@102,2%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.5C POM_5V_IN 7862/7476 POM_5V_GPU 5032/4621 POM_5V_CPU 120/140
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,2%@102,3%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32.5C POM_5V_IN 7233/7469 POM_5V_GPU 4585/4620 POM_5V_CPU 121/140
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,2%@102,3%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@31C AO@39.5C thermal@32C POM_5V_IN 6409/7439 POM_5V_GPU 3621/4592 POM_5V_CPU 123/139
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,1%@204,2%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@31C AO@43C thermal@32.25C POM_5V_IN 8158/7459 POM_5V_GPU 5256/4610 POM_5V_CPU 120/139
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,1%@102,3%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.5C POM_5V_IN 7983/7472 POM_5V_GPU 5072/4622 POM_5V_CPU 120/138
RAM 1954/3964MB (lfb 90x4MB) SWAP 444/1982MB (cached 24MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,2%@204,2%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@34C PMIC@50C GPU@29.5C AO@42C thermal@32.25C POM_5V_IN 6696/7452 POM_5V_GPU 4199/4611 POM_5V_CPU 122/138
