RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@102,0%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@32C AO@41C thermal@32.25C POM_5V_IN 7482/7792 POM_5V_GPU 4503/4989 POM_5V_CPU 122/124
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@31.5C AO@40.5C thermal@33.75C POM_5V_IN 5925/7738 POM_5V_GPU 3297/4940 POM_5V_CPU 123/124
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,0%@102,2%@102,2%@102] EMC_FREQ 53%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@31.5C AO@42.5C thermal@32C POM_5V_IN 6379/7700 POM_5V_GPU 4036/4915 POM_5V_CPU 122/124
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,0%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 79%@921 APE 25 PLL@28C CPU@35C PMIC@50C GPU@31.5C AO@42.5C thermal@33.5C POM_5V_IN 6797/7676 POM_5V_GPU 4301/4898 POM_5V_CPU 121/124
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,0%@204,0%@204,3%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@32C AO@43.5C thermal@31.75C POM_5V_IN 7321/7667 POM_5V_GPU 4684/4893 POM_5V_CPU 121/124
RAM 1977/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,1%@102,4%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@31.75C POM_5V_IN 7729/7668 POM_5V_GPU 5056/4897 POM_5V_CPU 120/124
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,2%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35.5C PMIC@50C GPU@32C AO@44C thermal@34C POM_5V_IN 8025/7677 POM_5V_GPU 5240/4906 POM_5V_CPU 120/124
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,2%@204,2%@204] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32.5C POM_5V_IN 8120/7688 POM_5V_GPU 5351/4916 POM_5V_CPU 120/124
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,1%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34C POM_5V_IN 8346/7704 POM_5V_GPU 5462/4929 POM_5V_CPU 119/124
RAM 1978/3964MB (lfb 68x4MB) SWAP 378/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,1%@102,3%@102] EMC_FREQ 54%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@32C AO@43.5C thermal@32.25C POM_5V_IN 8160/7714 POM_5V_GPU 5271/4937 POM_5V_CPU 120/123
