RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@45C thermal@31.75C POM_5V_IN 7286/6937 POM_5V_GPU 5201/4722 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,0%@102,1%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@45C thermal@33.75C POM_5V_IN 7315/6951 POM_5V_GPU 5201/4739 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7286/6963 POM_5V_GPU 5201/4756 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,1%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7286/6974 POM_5V_GPU 5201/4771 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32.5C AO@44.5C thermal@34.25C POM_5V_IN 7286/6984 POM_5V_GPU 5201/4786 POM_5V_CPU 121/121
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@45C thermal@34.25C POM_5V_IN 7315/6995 POM_5V_GPU 5201/4799 POM_5V_CPU 121/121
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,0%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@45C thermal@34C POM_5V_IN 7286/7004 POM_5V_GPU 5201/4812 POM_5V_CPU 121/121
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,1%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34C POM_5V_IN 7396/7016 POM_5V_GPU 5193/4823 POM_5V_CPU 162/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,4%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@32.5C POM_5V_IN 7245/7022 POM_5V_GPU 5161/4833 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,1%@204,1%@204,0%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.75C POM_5V_IN 7286/7030 POM_5V_GPU 5161/4842 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,2%@102,1%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7286/7037 POM_5V_GPU 5161/4851 POM_5V_CPU 121/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,2%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34.5C POM_5V_IN 7245/7043 POM_5V_GPU 5120/4858 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,1%@102,2%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7204/7047 POM_5V_GPU 5080/4864 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,1%@102,1%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34.25C POM_5V_IN 7052/7047 POM_5V_GPU 5006/4868 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,1%@204,2%@204,0%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36C PMIC@50C GPU@32C AO@44C thermal@32.5C POM_5V_IN 7012/7046 POM_5V_GPU 4884/4868 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,3%@204,1%@204,0%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@33.25C POM_5V_IN 6829/7041 POM_5V_GPU 4654/4863 POM_5V_CPU 122/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,0%@307,1%@307] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@35.5C PMIC@50C GPU@31.5C AO@43.5C thermal@33.25C POM_5V_IN 6255/7022 POM_5V_GPU 4067/4844 POM_5V_CPU 123/122
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,2%@204,1%@204,2%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@34.5C PMIC@50C GPU@31C AO@42C thermal@34.5C POM_5V_IN 5358/6983 POM_5V_GPU 3064/4803 POM_5V_CPU 165/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,1%@204,0%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31.5C AO@40.5C thermal@34C POM_5V_IN 6182/6965 POM_5V_GPU 3503/4773 POM_5V_CPU 123/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,5%@102,0%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32C AO@43C thermal@34.5C POM_5V_IN 7134/6969 POM_5V_GPU 4777/4773 POM_5V_CPU 122/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,1%@204,0%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32C AO@45C thermal@34.25C POM_5V_IN 7245/6975 POM_5V_GPU 5161/4782 POM_5V_CPU 122/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,1%@102,3%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7315/6982 POM_5V_GPU 5193/4790 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,0%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@32.5C POM_5V_IN 7245/6988 POM_5V_GPU 5161/4798 POM_5V_CPU 122/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,3%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@33.75C POM_5V_IN 7245/6993 POM_5V_GPU 5201/4806 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 7204/6997 POM_5V_GPU 5201/4814 POM_5V_CPU 122/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7286/7003 POM_5V_GPU 5161/4821 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,0%@102,2%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7315/7009 POM_5V_GPU 5201/4828 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,1%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7355/7015 POM_5V_GPU 5234/4836 POM_5V_CPU 121/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,2%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7286/7020 POM_5V_GPU 5201/4843 POM_5V_CPU 122/123
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,1%@102,1%@102,2%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7355/7026 POM_5V_GPU 5193/4849 POM_5V_CPU 162/124
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,0%@204,1%@204,0%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@32.5C POM_5V_IN 7286/7031 POM_5V_GPU 5161/4855 POM_5V_CPU 162/124
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@403,0%@403,2%@403,2%@403] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34C POM_5V_IN 7286/7035 POM_5V_GPU 5120/4859 POM_5V_CPU 162/125
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@307,1%@307,1%@307,2%@307] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7204/7038 POM_5V_GPU 5080/4863 POM_5V_CPU 122/125
RAM 1811/3964MB (lfb 70x4MB) SWAP 311/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,0%@102,0%@102,3%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28.5C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 7134/7040 POM_5V_GPU 5006/4865 POM_5V_CPU 162/125
