RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@102,3%@204,2%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 96%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@37C thermal@29.75C POM_5V_IN 5557/5309 POM_5V_GPU 2939/2824 POM_5V_CPU 124/140
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,6%@102,4%@102,1%@102] EMC_FREQ 35%@1600 GR3D_FREQ 63%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.25C POM_5V_IN 5432/5313 POM_5V_GPU 3188/2835 POM_5V_CPU 165/140
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,9%@102,0%@102,4%@102] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@37C thermal@29C POM_5V_IN 4999/5304 POM_5V_GPU 2658/2830 POM_5V_CPU 124/140
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,1%@102,1%@102,1%@102] EMC_FREQ 35%@1600 GR3D_FREQ 72%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29C POM_5V_IN 5316/5304 POM_5V_GPU 2824/2829 POM_5V_CPU 124/140
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,8%@204,1%@204,2%@204] EMC_FREQ 35%@1600 GR3D_FREQ 72%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@38C thermal@30C POM_5V_IN 5399/5307 POM_5V_GPU 3151/2838 POM_5V_CPU 124/139
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,4%@102,1%@102,1%@102] EMC_FREQ 35%@1600 GR3D_FREQ 81%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@36.5C thermal@29.25C POM_5V_IN 5241/5305 POM_5V_GPU 2745/2836 POM_5V_CPU 124/139
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,2%@204,2%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.75C POM_5V_IN 5233/5303 POM_5V_GPU 2985/2839 POM_5V_CPU 124/138
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,4%@204,2%@204,3%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@27.5C AO@37C thermal@29.25C POM_5V_IN 5041/5297 POM_5V_GPU 2699/2836 POM_5V_CPU 166/139
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,13%@307,3%@204,2%@204] EMC_FREQ 35%@1600 GR3D_FREQ 68%@921 APE 25 PLL@26C CPU@31C PMIC@50C GPU@28.5C AO@38.5C thermal@29.25C POM_5V_IN 5474/5301 POM_5V_GPU 3188/2844 POM_5V_CPU 124/139
RAM 1907/3964MB (lfb 16x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,13%@204,8%@204,1%@204] EMC_FREQ 35%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30C PMIC@50C GPU@28.5C AO@37C thermal@29C POM_5V_IN 5075/5296 POM_5V_GPU 2699/2841 POM_5V_CPU 166/139
