RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@204,7%@204,2%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 69%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4687/4465 POM_5V_GPU 2553/2367 POM_5V_CPU 125/153
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,8%@204,6%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 80%@921 APE 25 PLL@23C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4204/4456 POM_5V_GPU 2347/2366 POM_5V_CPU 125/152
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,8%@204,5%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27.25C POM_5V_IN 4408/4454 POM_5V_GPU 2183/2360 POM_5V_CPU 126/151
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,14%@102,4%@102,5%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@27.5C POM_5V_IN 4288/4449 POM_5V_GPU 2144/2353 POM_5V_CPU 125/150
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,18%@102,6%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4366/4446 POM_5V_GPU 2225/2349 POM_5V_CPU 126/149
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,16%@307,7%@307,2%@307] EMC_FREQ 21%@1600 GR3D_FREQ 68%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@26.75C POM_5V_IN 4687/4454 POM_5V_GPU 2553/2355 POM_5V_CPU 125/148
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,13%@204,10%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35.5C thermal@27C POM_5V_IN 4485/4455 POM_5V_GPU 2549/2361 POM_5V_CPU 167/149
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,17%@204,6%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4120/4445 POM_5V_GPU 2347/2360 POM_5V_CPU 125/148
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,7%@102,3%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4246/4439 POM_5V_GPU 2225/2357 POM_5V_CPU 125/147
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,6%@204,6%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 68%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@26.75C POM_5V_IN 4450/4439 POM_5V_GPU 2267/2354 POM_5V_CPU 125/147
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,6%@102,5%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4330/4436 POM_5V_GPU 2141/2348 POM_5V_CPU 125/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,4%@102,7%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@35C thermal@26.75C POM_5V_IN 4162/4429 POM_5V_GPU 2225/2345 POM_5V_CPU 167/147
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,12%@204,7%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@33.5C thermal@26.75C POM_5V_IN 4330/4427 POM_5V_GPU 2183/2341 POM_5V_CPU 126/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,16%@102,7%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4408/4426 POM_5V_GPU 2267/2339 POM_5V_CPU 125/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,17%@204,8%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@34.5C thermal@27.25C POM_5V_IN 4687/4432 POM_5V_GPU 2511/2343 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@307,5%@307,1%@307,4%@307] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 4324/4430 POM_5V_GPU 2511/2347 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,4%@204,0%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4282/4426 POM_5V_GPU 2431/2349 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@102,4%@102,2%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 89%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4729/4433 POM_5V_GPU 2469/2352 POM_5V_CPU 167/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,5%@102,3%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 79%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@25.5C AO@34.5C thermal@27C POM_5V_IN 4288/4430 POM_5V_GPU 2060/2345 POM_5V_CPU 167/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,9%@102,11%@102,6%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@27.25C POM_5V_IN 4366/4429 POM_5V_GPU 2225/2343 POM_5V_CPU 126/146
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,6%@102,2%@102,3%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4450/4429 POM_5V_GPU 2267/2341 POM_5V_CPU 126/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@307,3%@307,2%@307,2%@307] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@35.5C thermal@27.5C POM_5V_IN 4485/4430 POM_5V_GPU 2591/2346 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,4%@102,1%@102,0%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4120/4424 POM_5V_GPU 2347/2346 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [20%@307,6%@307,2%@307,1%@307] EMC_FREQ 22%@1600 GR3D_FREQ 69%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4562/4427 POM_5V_GPU 2632/2352 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,13%@102,7%@204,0%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4162/4421 POM_5V_GPU 2263/2350 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [23%@102,3%@102,2%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@34C thermal@27C POM_5V_IN 4288/4419 POM_5V_GPU 2102/2345 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@204,2%@204,2%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 70%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4485/4420 POM_5V_GPU 2549/2349 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,4%@102,3%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26C AO@34.5C thermal@27C POM_5V_IN 4771/4427 POM_5V_GPU 2511/2352 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [19%@204,5%@204,2%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 79%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@25.5C AO@35C thermal@27C POM_5V_IN 4324/4425 POM_5V_GPU 2469/2354 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,6%@102,9%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4169/4420 POM_5V_GPU 2225/2352 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [18%@307,2%@307,1%@307,3%@307] EMC_FREQ 22%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27.25C POM_5V_IN 4485/4421 POM_5V_GPU 2591/2356 POM_5V_CPU 167/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,7%@102,9%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 67%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26C AO@34C thermal@26.75C POM_5V_IN 4569/4424 POM_5V_GPU 2347/2356 POM_5V_CPU 125/145
RAM 1941/3964MB (lfb 14x4MB) SWAP 215/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,15%@204,6%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@26C AO@35C thermal@27C POM_5V_IN 4527/4426 POM_5V_GPU 2636/2361 POM_5V_CPU 167/145
