RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,4%@204,2%@204,3%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30C AO@42.5C thermal@31.5C POM_5V_IN 6818/6555 POM_5V_GPU 4736/4363 POM_5V_CPU 122/131
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,5%@102,1%@102,2%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@31.5C POM_5V_IN 6818/6565 POM_5V_GPU 4810/4380 POM_5V_CPU 122/131
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,1%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@40C thermal@31.5C POM_5V_IN 6604/6567 POM_5V_GPU 4184/4373 POM_5V_CPU 123/131
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,8%@204,1%@307,1%@307] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@31.5C POM_5V_IN 5903/6544 POM_5V_GPU 3709/4350 POM_5V_CPU 123/130
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,8%@102,2%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 74%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@31.75C POM_5V_IN 6058/6527 POM_5V_GPU 3950/4336 POM_5V_CPU 123/130
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,5%@102,2%@102,0%@102] EMC_FREQ 23%@1600 GR3D_FREQ 65%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31.25C POM_5V_IN 6368/6522 POM_5V_GPU 4184/4332 POM_5V_CPU 123/130
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,2%@204,5%@204] EMC_FREQ 23%@1600 GR3D_FREQ 85%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@29.5C AO@41.5C thermal@31.25C POM_5V_IN 6440/6520 POM_5V_GPU 4300/4331 POM_5V_CPU 122/130
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,4%@204,4%@204,6%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30C AO@42C thermal@31.5C POM_5V_IN 6440/6517 POM_5V_GPU 4341/4331 POM_5V_CPU 122/129
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,3%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30C AO@42C thermal@31.5C POM_5V_IN 6635/6521 POM_5V_GPU 4498/4336 POM_5V_CPU 122/129
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,5%@204,8%@204,8%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@31.5C POM_5V_IN 6676/6525 POM_5V_GPU 4621/4344 POM_5V_CPU 122/129
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,0%@102,0%@102,5%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@31.25C POM_5V_IN 6747/6531 POM_5V_GPU 4736/4355 POM_5V_CPU 122/129
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,1%@204,6%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@32C POM_5V_IN 6859/6540 POM_5V_GPU 4810/4367 POM_5V_CPU 122/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,7%@102,1%@102,0%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@40.5C thermal@31.5C POM_5V_IN 6645/6543 POM_5V_GPU 4218/4363 POM_5V_CPU 123/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,6%@102,0%@102,1%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 5944/6528 POM_5V_GPU 3785/4348 POM_5V_CPU 123/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,5%@204,1%@204,1%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@32C POM_5V_IN 6017/6515 POM_5V_GPU 3868/4336 POM_5V_CPU 123/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,6%@102,0%@102,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 6286/6509 POM_5V_GPU 4143/4332 POM_5V_CPU 123/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,8%@102,3%@102,1%@102] EMC_FREQ 23%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42C thermal@32C POM_5V_IN 6327/6505 POM_5V_GPU 4225/4329 POM_5V_CPU 123/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,7%@102,1%@102,3%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30C AO@42C thermal@32C POM_5V_IN 6635/6508 POM_5V_GPU 4539/4334 POM_5V_CPU 122/128
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@204,2%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@35C PMIC@50C GPU@30.5C AO@42.5C thermal@32C POM_5V_IN 6829/6515 POM_5V_GPU 4688/4342 POM_5V_CPU 122/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,2%@102,4%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.5C POM_5V_IN 6818/6522 POM_5V_GPU 4769/4351 POM_5V_CPU 122/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,3%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6717/6526 POM_5V_GPU 4382/4352 POM_5V_CPU 123/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@204,4%@204,4%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32.5C POM_5V_IN 6337/6522 POM_5V_GPU 3827/4341 POM_5V_CPU 123/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,2%@204,0%@204] EMC_FREQ 23%@1600 GR3D_FREQ 94%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@29.5C AO@41.5C thermal@31.5C POM_5V_IN 5976/6511 POM_5V_GPU 3868/4331 POM_5V_CPU 123/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,7%@204,1%@204,1%@204] EMC_FREQ 23%@1600 GR3D_FREQ 70%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30C AO@41.5C thermal@32C POM_5V_IN 6213/6505 POM_5V_GPU 4067/4326 POM_5V_CPU 123/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,4%@102,2%@102,6%@102] EMC_FREQ 22%@1600 GR3D_FREQ 68%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.25C POM_5V_IN 6286/6500 POM_5V_GPU 4225/4324 POM_5V_CPU 123/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@204,2%@204,7%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@42.5C thermal@32.25C POM_5V_IN 6635/6503 POM_5V_GPU 4498/4327 POM_5V_CPU 122/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,5%@102,1%@102] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34.5C PMIC@50C GPU@30.5C AO@43C thermal@31.75C POM_5V_IN 6788/6508 POM_5V_GPU 4654/4333 POM_5V_CPU 122/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,7%@102,1%@204,2%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@35C PMIC@50C GPU@30.5C AO@43C thermal@32.25C POM_5V_IN 6859/6515 POM_5V_GPU 4769/4341 POM_5V_CPU 122/127
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,0%@102,5%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6941/6523 POM_5V_GPU 4662/4347 POM_5V_CPU 122/126
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,1%@102,7%@102] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32.5C POM_5V_IN 6337/6519 POM_5V_GPU 3785/4337 POM_5V_CPU 123/126
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,2%@204,1%@204,6%@204] EMC_FREQ 23%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@32.75C POM_5V_IN 6017/6510 POM_5V_GPU 3868/4329 POM_5V_CPU 123/126
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,2%@204,4%@204,3%@204] EMC_FREQ 22%@1600 GR3D_FREQ 75%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@30.5C AO@42C thermal@32.75C POM_5V_IN 6327/6507 POM_5V_GPU 4184/4326 POM_5V_CPU 123/126
RAM 1670/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,1%@204,3%@204,5%@204] EMC_FREQ 22%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@42.5C thermal@32.75C POM_5V_IN 6440/6506 POM_5V_GPU 4300/4326 POM_5V_CPU 122/126
RAM 1672/3964MB (lfb 54x4MB) SWAP 223/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,5%@1479,7%@1479,6%@1479] EMC_FREQ 22%@1600 GR3D_FREQ 0%@921 APE 25 PLL@27C CPU@31.5C PMIC@50C GPU@29.5C AO@38C thermal@32.5C POM_5V_IN 4408/6470 POM_5V_GPU 2096/4288 POM_5V_CPU 419/131
