RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [49%@710,4%@710,3%@710,4%@710] EMC_FREQ 32%@1600 GR3D_FREQ 88%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5300/5284 POM_5V_GPU 2650/2655 POM_5V_CPU 372/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [45%@710,7%@710,8%@710,6%@710] EMC_FREQ 32%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@31.25C POM_5V_IN 5300/5285 POM_5V_GPU 2691/2656 POM_5V_CPU 414/401
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [47%@710,5%@710,5%@710,5%@710] EMC_FREQ 32%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.25C POM_5V_IN 5258/5284 POM_5V_GPU 2691/2657 POM_5V_CPU 372/400
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [43%@518,4%@518,7%@518,7%@518] EMC_FREQ 32%@1600 GR3D_FREQ 89%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5300/5284 POM_5V_GPU 2691/2658 POM_5V_CPU 372/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [43%@710,11%@710,7%@710,8%@710] EMC_FREQ 32%@1600 GR3D_FREQ 89%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5300/5285 POM_5V_GPU 2650/2658 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [47%@710,7%@710,7%@710,4%@710] EMC_FREQ 32%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30.5C AO@39C thermal@31.25C POM_5V_IN 5341/5287 POM_5V_GPU 2687/2659 POM_5V_CPU 372/398
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@614,53%@614,6%@614,7%@614] EMC_FREQ 31%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5184/5283 POM_5V_GPU 2650/2659 POM_5V_CPU 372/398
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@614,43%@614,5%@614,4%@614] EMC_FREQ 31%@1600 GR3D_FREQ 83%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.5C POM_5V_IN 5258/5283 POM_5V_GPU 2650/2658 POM_5V_CPU 414/398
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@614,47%@614,11%@614,6%@614] EMC_FREQ 31%@1600 GR3D_FREQ 85%@921 APE 25 PLL@28C CPU@32.5C PMIC@50C GPU@30C AO@39C thermal@31.25C POM_5V_IN 5258/5282 POM_5V_GPU 2650/2658 POM_5V_CPU 414/399
RAM 1635/3964MB (lfb 80x4MB) SWAP 154/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@614,45%@614,5%@614,4%@614] EMC_FREQ 31%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@38.5C thermal@31.25C POM_5V_IN 5258/5281 POM_5V_GPU 2650/2658 POM_5V_CPU 414/399
