RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,6%@307,3%@307,5%@307] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26C AO@36C thermal@27.25C POM_5V_IN 4666/4875 POM_5V_GPU 2741/2789 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,7%@102,16%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 65%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27C POM_5V_IN 5093/4882 POM_5V_GPU 3100/2800 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,7%@204,18%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 67%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@35.5C thermal@27.5C POM_5V_IN 5217/4893 POM_5V_GPU 2981/2806 POM_5V_CPU 165/165
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,11%@204,12%@204,7%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.25C POM_5V_IN 4942/4895 POM_5V_GPU 2741/2804 POM_5V_CPU 124/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,22%@102,2%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@34.5C thermal@27C POM_5V_IN 4825/4893 POM_5V_GPU 2624/2798 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,23%@102,3%@102,5%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26C AO@35.5C thermal@27.25C POM_5V_IN 4506/4881 POM_5V_GPU 2537/2790 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,22%@102,4%@102,3%@102] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.5C POM_5V_IN 4464/4869 POM_5V_GPU 2537/2783 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,23%@204,2%@204,2%@204] EMC_FREQ 21%@1600 GR3D_FREQ 91%@921 APE 25 PLL@23.5C CPU@28C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 4583/4861 POM_5V_GPU 2620/2778 POM_5V_CPU 166/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,18%@307,6%@307,7%@307] EMC_FREQ 21%@1600 GR3D_FREQ 65%@921 APE 25 PLL@23.5C CPU@29C PMIC@50C GPU@27C AO@36C thermal@27.75C POM_5V_IN 4818/4859 POM_5V_GPU 2861/2781 POM_5V_CPU 165/164
RAM 1697/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@307,10%@307,15%@204,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 86%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@27C AO@36.5C thermal@27.5C POM_5V_IN 4818/4858 POM_5V_GPU 2903/2784 POM_5V_CPU 165/164
RAM 1698/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,19%@204,7%@204,7%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@23.5C CPU@28.5C PMIC@50C GPU@26.5C AO@36.5C thermal@27.5C POM_5V_IN 4624/4852 POM_5V_GPU 2741/2783 POM_5V_CPU 165/164
RAM 1698/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,14%@204,6%@204,3%@204] EMC_FREQ 21%@1600 GR3D_FREQ 64%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@27.5C POM_5V_IN 5051/4857 POM_5V_GPU 3059/2790 POM_5V_CPU 165/164
RAM 1698/3964MB (lfb 38x4MB) SWAP 116/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@102,1%@102,1%@102,4%@204] EMC_FREQ 21%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@28C PMIC@50C GPU@26.5C AO@35C thermal@27.75C POM_5V_IN 4825/4856 POM_5V_GPU 2620/2786 POM_5V_CPU 166/164
