RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,3%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28C AO@36.5C thermal@30.5C POM_5V_IN 5142/5875 POM_5V_GPU 2824/3621 POM_5V_CPU 124/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,3%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 6328/5886 POM_5V_GPU 4158/3633 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,5%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@40.5C thermal@31C POM_5V_IN 6216/5894 POM_5V_GPU 4042/3643 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,6%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@29.75C POM_5V_IN 4429/5860 POM_5V_GPU 2420/3615 POM_5V_CPU 124/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@204,2%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@33C PMIC@50C GPU@29.5C AO@40C thermal@29.5C POM_5V_IN 6664/5878 POM_5V_GPU 4389/3632 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,4%@102,0%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29C AO@40C thermal@30.5C POM_5V_IN 6563/5893 POM_5V_GPU 4158/3644 POM_5V_CPU 122/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@102,7%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@30.75C POM_5V_IN 5481/5884 POM_5V_GPU 3338/3637 POM_5V_CPU 123/123
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,3%@102,9%@102,6%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@37C thermal@31C POM_5V_IN 5572/5878 POM_5V_GPU 3142/3627 POM_5V_CPU 165/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,7%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26.5C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@30.75C POM_5V_IN 6482/5890 POM_5V_GPU 4199/3639 POM_5V_CPU 122/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@307,2%@307,5%@307,2%@307] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29C AO@40C thermal@29.5C POM_5V_IN 6175/5896 POM_5V_GPU 3926/3644 POM_5V_CPU 122/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,4%@102,5%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@28.5C AO@37C thermal@29.5C POM_5V_IN 4749/5873 POM_5V_GPU 2499/3622 POM_5V_CPU 124/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,5%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33.5C PMIC@50C GPU@29.5C AO@40.5C thermal@30C POM_5V_IN 6553/5886 POM_5V_GPU 4348/3636 POM_5V_CPU 121/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,2%@204,4%@204,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@33C PMIC@50C GPU@29.5C AO@40.5C thermal@30.75C POM_5V_IN 6369/5896 POM_5V_GPU 4158/3646 POM_5V_CPU 122/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,4%@102,2%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 73%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@28.5C AO@39C thermal@30.75C POM_5V_IN 4935/5878 POM_5V_GPU 3018/3634 POM_5V_CPU 123/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,3%@204,5%@204,0%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@39C thermal@31C POM_5V_IN 6297/5885 POM_5V_GPU 3850/3638 POM_5V_CPU 123/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,1%@102,6%@102,1%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32.5C PMIC@50C GPU@29.5C AO@40.5C thermal@30.75C POM_5V_IN 6369/5894 POM_5V_GPU 4158/3647 POM_5V_CPU 122/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,6%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@32C PMIC@50C GPU@29C AO@40C thermal@29.5C POM_5V_IN 5564/5888 POM_5V_GPU 3492/3644 POM_5V_CPU 123/124
RAM 1848/3964MB (lfb 75x4MB) SWAP 136/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,4%@102,4%@102,0%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@30.5C PMIC@50C GPU@29C AO@37.5C thermal@30C POM_5V_IN 5258/5877 POM_5V_GPU 2944/3632 POM_5V_CPU 124/124
