RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,34%@403,6%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 92%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@26.5C AO@35.5C thermal@27.75C POM_5V_IN 5564/5497 POM_5V_GPU 2967/2922 POM_5V_CPU 288/283
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,33%@307,9%@307,8%@307] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@27.5C POM_5V_IN 5564/5499 POM_5V_GPU 3004/2925 POM_5V_CPU 288/283
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,34%@403,7%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 90%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28C POM_5V_IN 5522/5500 POM_5V_GPU 3004/2928 POM_5V_CPU 329/285
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@403,34%@403,4%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@28C POM_5V_IN 5490/5500 POM_5V_GPU 2926/2928 POM_5V_CPU 288/285
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,33%@307,6%@307,9%@307] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36C thermal@27.5C POM_5V_IN 5448/5498 POM_5V_GPU 2962/2929 POM_5V_CPU 288/285
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@518,33%@518,6%@518,6%@518] EMC_FREQ 35%@1600 GR3D_FREQ 78%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@35.5C thermal@28C POM_5V_IN 5670/5504 POM_5V_GPU 3040/2932 POM_5V_CPU 410/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,32%@102,5%@102,8%@102] EMC_FREQ 35%@1600 GR3D_FREQ 82%@921 APE 25 PLL@24C CPU@28.5C PMIC@50C GPU@26.5C AO@36C thermal@27.5C POM_5V_IN 5325/5498 POM_5V_GPU 2843/2930 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,35%@403,7%@403,6%@403] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27.75C POM_5V_IN 5637/5502 POM_5V_GPU 2967/2931 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,34%@204,6%@204,8%@204] EMC_FREQ 35%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5637/5506 POM_5V_GPU 2962/2932 POM_5V_CPU 287/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,35%@403,5%@403,7%@403] EMC_FREQ 35%@1600 GR3D_FREQ 87%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36C thermal@27.75C POM_5V_IN 5596/5509 POM_5V_GPU 3004/2934 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,31%@403,8%@403,8%@403] EMC_FREQ 35%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27.75C POM_5V_IN 5564/5510 POM_5V_GPU 2962/2935 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@403,34%@403,7%@403,6%@403] EMC_FREQ 35%@1600 GR3D_FREQ 86%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@26.5C AO@36C thermal@27.75C POM_5V_IN 5564/5512 POM_5V_GPU 2926/2934 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@403,33%@403,5%@403,5%@403] EMC_FREQ 35%@1600 GR3D_FREQ 83%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36C thermal@28C POM_5V_IN 5564/5513 POM_5V_GPU 3004/2936 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,35%@307,6%@307,10%@307] EMC_FREQ 35%@1600 GR3D_FREQ 94%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@26.5C AO@36.5C thermal@28C POM_5V_IN 5440/5511 POM_5V_GPU 2962/2937 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@307,34%@307,5%@307,5%@307] EMC_FREQ 35%@1600 GR3D_FREQ 89%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28C POM_5V_IN 5440/5509 POM_5V_GPU 2926/2936 POM_5V_CPU 288/289
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@403,32%@403,8%@403,6%@403] EMC_FREQ 35%@1600 GR3D_FREQ 85%@921 APE 25 PLL@24.5C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5564/5511 POM_5V_GPU 3086/2940 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,35%@204,8%@204,6%@204] EMC_FREQ 35%@1600 GR3D_FREQ 84%@921 APE 25 PLL@24C CPU@29.5C PMIC@50C GPU@27C AO@36.5C thermal@28.25C POM_5V_IN 5522/5511 POM_5V_GPU 2962/2941 POM_5V_CPU 288/288
RAM 1640/3964MB (lfb 37x4MB) SWAP 108/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [7%@307,33%@307,6%@307,8%@307] EMC_FREQ 35%@1600 GR3D_FREQ 88%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27C AO@36C thermal@28.25C POM_5V_IN 5522/5511 POM_5V_GPU 3045/2943 POM_5V_CPU 288/288
