RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,14%@204,11%@204,11%@204] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5432/5617 POM_5V_GPU 3188/3249 POM_5V_CPU 207/217
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,30%@204,3%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 5705/5621 POM_5V_GPU 3384/3254 POM_5V_CPU 206/217
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,31%@307,3%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5631/5621 POM_5V_GPU 3266/3255 POM_5V_CPU 206/216
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,30%@204,3%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5705/5624 POM_5V_GPU 3426/3261 POM_5V_CPU 248/217
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,28%@204,7%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 83%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5590/5623 POM_5V_GPU 3266/3261 POM_5V_CPU 248/218
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,30%@204,2%@204,6%@204] EMC_FREQ 29%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5788/5628 POM_5V_GPU 3188/3258 POM_5V_CPU 248/219
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,29%@204,5%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 92%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5788/5633 POM_5V_GPU 3426/3264 POM_5V_CPU 206/219
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [6%@403,27%@403,6%@403,2%@403] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@32C POM_5V_IN 5557/5631 POM_5V_GPU 3188/3261 POM_5V_CPU 248/220
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [28%@307,4%@307,9%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 5664/5632 POM_5V_GPU 3384/3265 POM_5V_CPU 247/220
RAM 1647/3964MB (lfb 97x4MB) SWAP 150/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [31%@204,6%@204,5%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 81%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 5755/5635 POM_5V_GPU 3147/3262 POM_5V_CPU 248/221
