RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,21%@204,2%@204,2%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 6471/6387 POM_5V_GPU 4580/4384 POM_5V_CPU 163/149
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,17%@102,5%@102,4%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34C POM_5V_IN 6512/6389 POM_5V_GPU 4580/4388 POM_5V_CPU 123/148
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,20%@102,2%@102,3%@102] EMC_FREQ 17%@1600 GR3D_FREQ 79%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 6553/6393 POM_5V_GPU 4539/4391 POM_5V_CPU 122/148
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,17%@102,3%@102,6%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32C AO@45C thermal@34.25C POM_5V_IN 6440/6394 POM_5V_GPU 4546/4394 POM_5V_CPU 122/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,2%@102,0%@102,2%@102] EMC_FREQ 17%@1600 GR3D_FREQ 68%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.25C POM_5V_IN 6358/6393 POM_5V_GPU 4423/4395 POM_5V_CPU 164/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,11%@102,5%@102,3%@204] EMC_FREQ 17%@1600 GR3D_FREQ 73%@921 APE 25 PLL@29C CPU@36C PMIC@50C GPU@32C AO@44.5C thermal@34.5C POM_5V_IN 6317/6391 POM_5V_GPU 4382/4395 POM_5V_CPU 122/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,10%@204,3%@204,0%@204] EMC_FREQ 17%@1600 GR3D_FREQ 83%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44C thermal@34.75C POM_5V_IN 6213/6388 POM_5V_GPU 4232/4392 POM_5V_CPU 164/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,6%@204,5%@204,0%@204] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@44.5C thermal@34.5C POM_5V_IN 6594/6392 POM_5V_GPU 4307/4390 POM_5V_CPU 164/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [18%@102,8%@102,6%@102,2%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@33C AO@45C thermal@34.25C POM_5V_IN 6553/6395 POM_5V_GPU 4580/4394 POM_5V_CPU 122/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [21%@102,2%@102,2%@102,2%@102] EMC_FREQ 17%@1600 GR3D_FREQ 99%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32.5C AO@45C thermal@34C POM_5V_IN 6471/6396 POM_5V_GPU 4539/4396 POM_5V_CPU 122/147
RAM 1577/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [22%@102,2%@102,1%@102,4%@102] EMC_FREQ 17%@1600 GR3D_FREQ 67%@921 APE 25 PLL@29C CPU@37C PMIC@50C GPU@32.5C AO@45C thermal@34.5C POM_5V_IN 6399/6396 POM_5V_GPU 4464/4397 POM_5V_CPU 122/146
RAM 1578/3964MB (lfb 19x4MB) SWAP 214/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [19%@1224,4%@1224,5%@1224,3%@1224] EMC_FREQ 17%@1600 GR3D_FREQ 19%@921 APE 25 PLL@29C CPU@36.5C PMIC@50C GPU@32C AO@41.5C thermal@34.75C POM_5V_IN 5083/6374 POM_5V_GPU 2958/4373 POM_5V_CPU 250/148
