RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,10%@102,4%@102,4%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@39C thermal@30.25C POM_5V_IN 5985/5908 POM_5V_GPU 3750/3838 POM_5V_CPU 164/161
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,20%@102,4%@102,2%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@29C AO@39C thermal@30.25C POM_5V_IN 5672/5899 POM_5V_GPU 3550/3828 POM_5V_CPU 165/161
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,15%@204,10%@204,6%@204] EMC_FREQ 20%@1600 GR3D_FREQ 62%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 5746/5893 POM_5V_GPU 3791/3826 POM_5V_CPU 165/161
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,11%@102,11%@102,4%@102] EMC_FREQ 20%@1600 GR3D_FREQ 59%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 6099/5901 POM_5V_GPU 3997/3832 POM_5V_CPU 123/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,15%@307,9%@307,4%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 5664/5893 POM_5V_GPU 3632/3825 POM_5V_CPU 165/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,18%@102,4%@102,8%@102] EMC_FREQ 20%@1600 GR3D_FREQ 65%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@40.5C thermal@29.75C POM_5V_IN 5903/5893 POM_5V_GPU 3991/3831 POM_5V_CPU 164/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,18%@307,3%@307,5%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@39.5C thermal@29.75C POM_5V_IN 5590/5883 POM_5V_GPU 3596/3823 POM_5V_CPU 165/160
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,22%@204,3%@204,3%@204] EMC_FREQ 20%@1600 GR3D_FREQ 64%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29.5C AO@40C thermal@30.25C POM_5V_IN 5746/5879 POM_5V_GPU 3756/3821 POM_5V_CPU 123/159
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,21%@102,2%@102,5%@102] EMC_FREQ 20%@1600 GR3D_FREQ 84%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6017/5883 POM_5V_GPU 4032/3828 POM_5V_CPU 123/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,21%@204,3%@204,2%@102] EMC_FREQ 20%@1600 GR3D_FREQ 90%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30C POM_5V_IN 5622/5876 POM_5V_GPU 3715/3824 POM_5V_CPU 165/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,20%@102,4%@102,2%@102] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@39C thermal@30C POM_5V_IN 6058/5881 POM_5V_GPU 3797/3824 POM_5V_CPU 165/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@307,5%@307,13%@307,8%@307] EMC_FREQ 20%@1600 GR3D_FREQ 83%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29.5C AO@39.5C thermal@30C POM_5V_IN 5664/5875 POM_5V_GPU 3673/3819 POM_5V_CPU 165/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,2%@102,16%@102,7%@204] EMC_FREQ 20%@1600 GR3D_FREQ 64%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.5C POM_5V_IN 5861/5875 POM_5V_GPU 3874/3821 POM_5V_CPU 164/159
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,22%@307,3%@307,1%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@29C AO@40C thermal@30.5C POM_5V_IN 6058/5879 POM_5V_GPU 4115/3828 POM_5V_CPU 123/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,21%@204,3%@307,1%@307] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28.5C AO@40C thermal@30.5C POM_5V_IN 5705/5875 POM_5V_GPU 3673/3824 POM_5V_CPU 165/158
RAM 1704/3964MB (lfb 101x4MB) SWAP 326/1982MB (cached 23MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,14%@204,4%@204,5%@204] EMC_FREQ 20%@1600 GR3D_FREQ 99%@921 APE 25 PLL@26C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30.5C POM_5V_IN 5590/5868 POM_5V_GPU 3638/3820 POM_5V_CPU 124/157
