RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [16%@204,3%@204,2%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@41C thermal@32C POM_5V_IN 6399/6921 POM_5V_GPU 3966/4283 POM_5V_CPU 122/135
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,4%@204,0%@204,3%@204] EMC_FREQ 49%@1600 GR3D_FREQ 95%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@31C AO@41.5C thermal@32.25C POM_5V_IN 6625/6910 POM_5V_GPU 4164/4278 POM_5V_CPU 122/135
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,8%@204,2%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@42C thermal@32C POM_5V_IN 7082/6916 POM_5V_GPU 4470/4285 POM_5V_CPU 121/134
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [14%@307,6%@307,4%@307,3%@307] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@41C thermal@32.25C POM_5V_IN 7286/6929 POM_5V_GPU 4273/4285 POM_5V_CPU 244/138
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,12%@204,3%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 6553/6917 POM_5V_GPU 4089/4278 POM_5V_CPU 122/138
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,7%@204,6%@204,0%@204] EMC_FREQ 49%@1600 GR3D_FREQ 68%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@41.5C thermal@31.75C POM_5V_IN 6859/6915 POM_5V_GPU 4314/4279 POM_5V_CPU 122/137
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,2%@102,4%@102,0%@204] EMC_FREQ 48%@1600 GR3D_FREQ 87%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31.5C AO@42.5C thermal@32.5C POM_5V_IN 7082/6920 POM_5V_GPU 4429/4284 POM_5V_CPU 121/137
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,10%@204,5%@204,1%@204] EMC_FREQ 49%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@31.5C AO@41.5C thermal@31.75C POM_5V_IN 6553/6909 POM_5V_GPU 4083/4278 POM_5V_CPU 163/137
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,11%@204,4%@204,0%@204] EMC_FREQ 49%@1600 GR3D_FREQ 86%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@31C AO@42C thermal@31.75C POM_5V_IN 6818/6906 POM_5V_GPU 4239/4277 POM_5V_CPU 122/137
RAM 1716/3964MB (lfb 70x4MB) SWAP 329/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,12%@102,7%@204,0%@204] EMC_FREQ 49%@1600 GR3D_FREQ 94%@921 APE 25 PLL@28C CPU@34.5C PMIC@50C GPU@31C AO@42.5C thermal@32.5C POM_5V_IN 7123/6912 POM_5V_GPU 4470/4282 POM_5V_CPU 121/136
