RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,10%@102,1%@102,0%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@29C PMIC@50C GPU@27.5C AO@35C thermal@28.25C POM_5V_IN 4288/5288 POM_5V_GPU 2057/3042 POM_5V_CPU 125/134
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,9%@102,1%@102,2%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@27C AO@38.5C thermal@28.25C POM_5V_IN 5465/5293 POM_5V_GPU 3390/3052 POM_5V_CPU 123/133
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@102,0%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@38C thermal@27.75C POM_5V_IN 6368/5324 POM_5V_GPU 3944/3077 POM_5V_CPU 123/133
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,4%@102,6%@102,1%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@29C PMIC@50C GPU@28C AO@35.5C thermal@28C POM_5V_IN 4847/5310 POM_5V_GPU 2549/3063 POM_5V_CPU 125/133
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@307,6%@307,3%@307,6%@307] EMC_FREQ 29%@1600 GR3D_FREQ 81%@921 APE 25 PLL@24.5C CPU@28.5C PMIC@50C GPU@27C AO@36C thermal@27.5C POM_5V_IN 4317/5284 POM_5V_GPU 2343/3043 POM_5V_CPU 125/133
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@102,0%@102,0%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@31.5C PMIC@50C GPU@27.5C AO@38.5C thermal@28C POM_5V_IN 5861/5299 POM_5V_GPU 3709/3061 POM_5V_CPU 123/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,9%@204,1%@204,1%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@36C thermal@27.75C POM_5V_IN 5746/5310 POM_5V_GPU 3312/3067 POM_5V_CPU 124/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [1%@102,11%@102,0%@102,0%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@28.5C PMIC@50C GPU@27.5C AO@35C thermal@28C POM_5V_IN 4569/5292 POM_5V_GPU 2305/3048 POM_5V_CPU 125/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,10%@102,2%@102,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 50%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27C AO@37.5C thermal@28C POM_5V_IN 5116/5287 POM_5V_GPU 3110/3050 POM_5V_CPU 124/132
RAM 2180/3964MB (lfb 8x4MB) SWAP 296/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,10%@204,2%@204,0%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@28C POM_5V_IN 6245/5310 POM_5V_GPU 4102/3075 POM_5V_CPU 123/131
