RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,4%@102,8%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@32.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.25C POM_5V_IN 6930/6508 POM_5V_GPU 4273/3790 POM_5V_CPU 121/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,3%@204,8%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 7315/6533 POM_5V_GPU 4422/3809 POM_5V_CPU 162/127
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,4%@204,8%@204,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 7123/6551 POM_5V_GPU 4348/3826 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,7%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@39.5C thermal@31.5C POM_5V_IN 6900/6561 POM_5V_GPU 3919/3829 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,2%@204,6%@204,1%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@40C thermal@31.25C POM_5V_IN 6286/6553 POM_5V_GPU 3487/3819 POM_5V_CPU 123/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [12%@102,6%@102,3%@102,0%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@39.5C thermal@31.25C POM_5V_IN 6163/6542 POM_5V_GPU 3528/3811 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [8%@204,2%@204,5%@204,2%@204] EMC_FREQ 56%@1600 GR3D_FREQ 69%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@40.5C thermal@31.75C POM_5V_IN 6317/6536 POM_5V_GPU 3727/3808 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,2%@102,4%@102,1%@102] EMC_FREQ 56%@1600 GR3D_FREQ 71%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.25C POM_5V_IN 6584/6537 POM_5V_GPU 4001/3813 POM_5V_CPU 122/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,2%@102,6%@102,0%@102] EMC_FREQ 56%@1600 GR3D_FREQ 95%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6930/6548 POM_5V_GPU 4267/3825 POM_5V_CPU 121/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,8%@204,4%@204,0%@204] EMC_FREQ 56%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 7001/6559 POM_5V_GPU 4307/3837 POM_5V_CPU 121/126
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,11%@204,3%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 80%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@31.5C POM_5V_IN 6737/6563 POM_5V_GPU 4076/3843 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,11%@102,3%@102,2%@102] EMC_FREQ 56%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 6971/6573 POM_5V_GPU 4226/3852 POM_5V_CPU 121/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,10%@204,4%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 72%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@41.5C thermal@31.5C POM_5V_IN 6849/6579 POM_5V_GPU 4111/3858 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,11%@204,5%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 89%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 6512/6578 POM_5V_GPU 3844/3858 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,10%@204,1%@204,1%@204] EMC_FREQ 55%@1600 GR3D_FREQ 90%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@31.5C POM_5V_IN 6358/6573 POM_5V_GPU 3727/3855 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,10%@204,5%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 6245/6566 POM_5V_GPU 3686/3851 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,10%@204,3%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 6317/6560 POM_5V_GPU 3686/3848 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,8%@204,7%@204,1%@204] EMC_FREQ 55%@1600 GR3D_FREQ 91%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 6389/6557 POM_5V_GPU 3762/3846 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [9%@204,2%@204,3%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 87%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32.25C POM_5V_IN 6399/6554 POM_5V_GPU 3762/3844 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,8%@204,7%@204,0%@204] EMC_FREQ 55%@1600 GR3D_FREQ 79%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 6317/6549 POM_5V_GPU 3768/3843 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,6%@102,10%@102,3%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 5935/6537 POM_5V_GPU 3451/3835 POM_5V_CPU 123/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,3%@102,10%@102,2%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 6245/6531 POM_5V_GPU 3563/3830 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@204,4%@204,6%@204,6%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@31.75C POM_5V_IN 6163/6524 POM_5V_GPU 3569/3825 POM_5V_CPU 122/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,2%@102,10%@102,6%@204] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30.5C AO@40.5C thermal@32C POM_5V_IN 6090/6516 POM_5V_GPU 3528/3819 POM_5V_CPU 123/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,3%@102,7%@102,6%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33C PMIC@50C GPU@30.5C AO@40C thermal@31.75C POM_5V_IN 6337/6513 POM_5V_GPU 3446/3812 POM_5V_CPU 123/124
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,2%@102,6%@102,3%@102] EMC_FREQ 55%@1600 GR3D_FREQ 99%@921 APE 25 PLL@28C CPU@33C PMIC@50C GPU@30C AO@40.5C thermal@32.5C POM_5V_IN 6163/6507 POM_5V_GPU 3563/3808 POM_5V_CPU 122/124
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,2%@204,13%@204,6%@204] EMC_FREQ 55%@1600 GR3D_FREQ 68%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 6553/6507 POM_5V_GPU 3838/3808 POM_5V_CPU 163/125
RAM 1736/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,3%@102,5%@102,7%@102] EMC_FREQ 56%@1600 GR3D_FREQ 68%@921 APE 25 PLL@28C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 6889/6514 POM_5V_GPU 4233/3816 POM_5V_CPU 162/126
RAM 1737/3964MB (lfb 86x4MB) SWAP 357/1982MB (cached 22MB) IRAM 0/252kB(lfb 252kB) CPU [3%@1479,12%@1479,4%@1479,3%@1479] EMC_FREQ 55%@1600 GR3D_FREQ 0%@921 APE 25 PLL@27.5C CPU@32.5C PMIC@50C GPU@30C AO@38.5C thermal@31.5C POM_5V_IN 4806/6485 POM_5V_GPU 2256/3789 POM_5V_CPU 292/129
