RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,7%@204,15%@204,5%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24C CPU@30.5C PMIC@50C GPU@27.5C AO@37.5C thermal@29.25C POM_5V_IN 5482/5976 POM_5V_GPU 3022/3675 POM_5V_CPU 165/126
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,13%@102,15%@102,5%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@36.5C thermal@29.75C POM_5V_IN 5921/5974 POM_5V_GPU 3147/3656 POM_5V_CPU 165/127
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,12%@102,8%@102,6%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@29.75C POM_5V_IN 6532/5993 POM_5V_GPU 3703/3657 POM_5V_CPU 123/127
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,15%@102,8%@102,6%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@29.75C POM_5V_IN 6952/6025 POM_5V_GPU 4287/3678 POM_5V_CPU 122/127
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [8%@102,13%@102,12%@204,8%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29C POM_5V_IN 6870/6052 POM_5V_GPU 4205/3695 POM_5V_CPU 163/128
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,10%@204,11%@204,3%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31.5C PMIC@50C GPU@28C AO@39C thermal@29.75C POM_5V_IN 6255/6059 POM_5V_GPU 3985/3704 POM_5V_CPU 123/128
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,1%@102,12%@102,4%@102] EMC_FREQ 29%@1600 GR3D_FREQ 98%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@28C AO@39.5C thermal@29.25C POM_5V_IN 5912/6054 POM_5V_GPU 3673/3703 POM_5V_CPU 123/128
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@307,1%@307,5%@307,2%@307] EMC_FREQ 29%@1600 GR3D_FREQ 95%@921 APE 25 PLL@24.5C CPU@30.5C PMIC@50C GPU@27.5C AO@38C thermal@29C POM_5V_IN 5166/6028 POM_5V_GPU 3156/3687 POM_5V_CPU 124/128
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,4%@102,7%@102,5%@102] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29.75C POM_5V_IN 5366/6009 POM_5V_GPU 2999/3668 POM_5V_CPU 124/128
RAM 1719/3964MB (lfb 81x4MB) SWAP 138/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@204,1%@204,9%@204,2%@204] EMC_FREQ 29%@1600 GR3D_FREQ 99%@921 APE 25 PLL@24.5C CPU@31C PMIC@50C GPU@28C AO@37.5C thermal@29.25C POM_5V_IN 5912/6007 POM_5V_GPU 3519/3663 POM_5V_CPU 124/127
