RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@307,10%@307,3%@307,3%@307] EMC_FREQ 28%@1600 GR3D_FREQ 84%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@39C thermal@29.25C POM_5V_IN 5441/5748 POM_5V_GPU 3359/3344 POM_5V_CPU 124/145
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,11%@102,5%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@30C POM_5V_IN 6109/5761 POM_5V_GPU 3950/3366 POM_5V_CPU 123/145
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,6%@102,10%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30C PMIC@50C GPU@28C AO@37C thermal@29.25C POM_5V_IN 5174/5740 POM_5V_GPU 2879/3349 POM_5V_CPU 125/144
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,5%@102,7%@102,2%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@30C POM_5V_IN 5755/5741 POM_5V_GPU 3673/3360 POM_5V_CPU 164/144
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,7%@102,5%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@38C thermal@29.25C POM_5V_IN 5681/5739 POM_5V_GPU 3317/3359 POM_5V_CPU 124/144
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@204,12%@204,4%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@38.5C thermal@29.5C POM_5V_IN 4965/5714 POM_5V_GPU 2958/3346 POM_5V_CPU 124/143
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,5%@204,3%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@40C thermal@29.5C POM_5V_IN 6109/5726 POM_5V_GPU 3833/3361 POM_5V_CPU 123/142
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [16%@102,0%@102,1%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@30.5C PMIC@50C GPU@28C AO@37.5C thermal@30C POM_5V_IN 5408/5716 POM_5V_GPU 3041/3351 POM_5V_CPU 124/142
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [14%@102,2%@102,3%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 62%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28C AO@39.5C thermal@29.25C POM_5V_IN 5515/5710 POM_5V_GPU 3514/3356 POM_5V_CPU 165/143
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,12%@204,5%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25C CPU@31.5C PMIC@50C GPU@28.5C AO@39.5C thermal@29.75C POM_5V_IN 6306/5727 POM_5V_GPU 3833/3369 POM_5V_CPU 123/142
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,10%@102,1%@102,1%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@37.5C thermal@29C POM_5V_IN 4939/5706 POM_5V_GPU 2716/3351 POM_5V_CPU 125/142
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,12%@204,6%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 69%@921 APE 25 PLL@25C CPU@31C PMIC@50C GPU@28C AO@39.5C thermal@29.5C POM_5V_IN 5482/5699 POM_5V_GPU 3395/3352 POM_5V_CPU 124/141
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,16%@102,1%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@29C AO@39.5C thermal@30C POM_5V_IN 6264/5714 POM_5V_GPU 3991/3369 POM_5V_CPU 123/141
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [2%@102,8%@204,5%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28C AO@38.5C thermal@29.25C POM_5V_IN 4889/5693 POM_5V_GPU 2795/3355 POM_5V_CPU 124/140
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,8%@102,5%@102,5%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@28.5C AO@38C thermal@29.5C POM_5V_IN 5174/5680 POM_5V_GPU 2841/3342 POM_5V_CPU 166/141
RAM 1722/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,12%@102,6%@102,3%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28C AO@40C thermal@29.5C POM_5V_IN 5838/5684 POM_5V_GPU 3632/3349 POM_5V_CPU 165/141
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@102,13%@102,1%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@31.5C PMIC@50C GPU@28.5C AO@38.5C thermal@29C POM_5V_IN 5994/5691 POM_5V_GPU 3519/3353 POM_5V_CPU 124/141
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,11%@204,2%@204,2%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30C PMIC@50C GPU@28C AO@38C thermal@30.25C POM_5V_IN 4687/5668 POM_5V_GPU 2632/3336 POM_5V_CPU 125/141
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,5%@204,9%@204,3%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@39.5C thermal@30.25C POM_5V_IN 5838/5672 POM_5V_GPU 3673/3344 POM_5V_CPU 123/140
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,6%@102,5%@102,6%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@29C AO@38C thermal@29.5C POM_5V_IN 5681/5672 POM_5V_GPU 3281/3342 POM_5V_CPU 124/140
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [3%@204,10%@204,5%@204,7%@204] EMC_FREQ 28%@1600 GR3D_FREQ 57%@921 APE 25 PLL@25.5C CPU@31C PMIC@50C GPU@28C AO@39C thermal@30C POM_5V_IN 5090/5659 POM_5V_GPU 3078/3337 POM_5V_CPU 124/139
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@204,3%@204,5%@204,4%@204] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@32C PMIC@50C GPU@28.5C AO@40C thermal@30.25C POM_5V_IN 5953/5666 POM_5V_GPU 3791/3346 POM_5V_CPU 123/139
RAM 1723/3964MB (lfb 112x4MB) SWAP 213/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [4%@102,3%@102,7%@102,4%@102] EMC_FREQ 28%@1600 GR3D_FREQ 99%@921 APE 25 PLL@25.5C CPU@30.5C PMIC@50C GPU@29C AO@37.5C thermal@29.25C POM_5V_IN 5565/5663 POM_5V_GPU 3203/3343 POM_5V_CPU 124/139
