RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,3%@204,11%@204,8%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@42C thermal@31.5C POM_5V_IN 6172/6002 POM_5V_GPU 3827/3443 POM_5V_CPU 123/153
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@204,4%@204,13%@204,1%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.25C POM_5V_IN 6058/6004 POM_5V_GPU 3862/3458 POM_5V_CPU 164/153
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [7%@102,3%@102,13%@102,3%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6058/6006 POM_5V_GPU 3780/3470 POM_5V_CPU 164/154
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,4%@204,6%@204,1%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@32C POM_5V_IN 6058/6008 POM_5V_GPU 3785/3480 POM_5V_CPU 164/154
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,9%@204,11%@204,2%@204] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27.5C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.75C POM_5V_IN 6058/6009 POM_5V_GPU 3780/3490 POM_5V_CPU 205/156
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,6%@102,13%@102,2%@102] EMC_FREQ 32%@1600 GR3D_FREQ 99%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41.5C thermal@31.5C POM_5V_IN 5985/6009 POM_5V_GPU 3668/3496 POM_5V_CPU 164/156
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,7%@204,8%@204,3%@204] EMC_FREQ 32%@1600 GR3D_FREQ 77%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@32C POM_5V_IN 5746/6000 POM_5V_GPU 3544/3498 POM_5V_CPU 164/156
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [6%@102,9%@204,7%@204,1%@204] EMC_FREQ 32%@1600 GR3D_FREQ 68%@921 APE 25 PLL@27C CPU@33.5C PMIC@50C GPU@30.5C AO@41.5C thermal@32.25C POM_5V_IN 5861/5996 POM_5V_GPU 3585/3500 POM_5V_CPU 164/156
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,5%@204,9%@204,0%@204] EMC_FREQ 32%@1600 GR3D_FREQ 61%@921 APE 25 PLL@27C CPU@34C PMIC@50C GPU@30.5C AO@41C thermal@32C POM_5V_IN 5829/5991 POM_5V_GPU 3426/3498 POM_5V_CPU 165/157
RAM 1682/3964MB (lfb 70x4MB) SWAP 195/1982MB (cached 5MB) IRAM 0/252kB(lfb 252kB) CPU [5%@102,5%@102,12%@102,1%@102] EMC_FREQ 32%@1600 GR3D_FREQ 77%@921 APE 25 PLL@27.5C CPU@33.5C PMIC@50C GPU@30C AO@41C thermal@31.5C POM_5V_IN 5820/5986 POM_5V_GPU 3467/3497 POM_5V_CPU 123/156
