Model Name,Layers,Total Parameters,Convolution Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PLL,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Avrg_THERMAL,Avrg_AO,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L6_F480_K4x4_W45_DWS,6,13681981,1197171,2888721046,dws,45,1653.627118644068,174.0,0.0,7.25,91.16949152542372,29.966101694915253,25.0,24.6875,50.0,5717.338983050848,3376.542372881356,144.10169491525423,28.13636363636364,30.772727272727277,29.345744680851062,38.75925925925926,337323.0,199216.0,8502.0,806,75.07115125656121,247.16625310173697,10.548387096774194
convnet_L6_F480_K4x4_W50_DWS,6,16249981,1197171,3507772981,dws,50,1663.7627118644068,174.0,0.0,6.419491525423729,90.64406779661016,30.966101694915253,25.0,25.0,50.0,5807.677966101695,3438.0508474576272,146.91525423728814,28.303030303030305,30.848484848484848,29.369791666666668,38.61538461538461,342653.0,202845.0,8668.0,690,86.7015123367309,293.9782608695652,12.56231884057971
convnet_L6_F480_K4x4_W55_DWS,6,19057981,1197171,4186923466,dws,55,1678.6545454545455,174.0,0.0,5.672727272727273,92.8,22.2,25.0,24.928571428571427,50.0,5666.163636363636,3516.509090909091,129.72727272727272,28.25,30.904761904761905,29.454545454545453,38.672413793103445,311639.0,193408.0,7135.0,615,102.53197193145749,314.48455284552847,11.601626016260163
convnet_L6_F480_K4x4_W60_DWS,6,22105981,1197171,4926172501,dws,60,1688.0169491525423,174.0,0.0,5.258474576271187,91.50847457627118,21.45762711864407,25.0,24.666666666666668,50.0,5581.542372881356,3466.8474576271187,140.94915254237287,28.1875,30.91304347826087,29.482142857142858,38.73529411764706,329311.0,204544.0,8316.0,518,114.4995093345642,394.87258687258685,16.054054054054053
convnet_L6_F480_K4x4_W65_DWS,6,25393981,1197171,5725520086,dws,65,1711.607142857143,174.0,0.0,5.808035714285714,95.625,32.80357142857143,25.0,24.666666666666668,50.0,5948.660714285715,3511.6428571428573,140.91071428571428,28.214285714285715,30.95833333333333,29.194444444444443,38.56060606060606,333125.0,196652.0,7891.0,430,138.9391493797302,457.3302325581395,18.351162790697675
convnet_L6_F480_K4x4_W70_DWS,6,28921981,1197171,6584966221,dws,70,1720.051724137931,174.0,0.0,4.818965517241379,94.77586206896552,20.63793103448276,25.0,24.71875,50.0,5693.120689655172,3551.896551724138,129.39655172413794,27.954545454545453,30.8,29.3125,38.82258064516129,330201.0,206010.0,7505.0,400,149.9421429634094,515.025,18.7625
convnet_L6_F480_K4x4_W75_DWS,6,32689981,1197171,7504510906,dws,75,1737.0,174.0,0.0,4.504237288135593,89.89830508474576,22.372881355932204,25.0,24.615384615384617,50.0,4869.033898305085,2836.2881355932204,126.79661016949152,27.73333333333333,29.70731707317073,29.25,37.20588235294117,287273.0,167341.0,7481.0,354,168.98193359375,472.7146892655367,21.13276836158192
convnet_L6_F480_K4x4_W80_DWS,6,36697981,1197171,8484154141,dws,80,1754.0,174.0,0.0,4.314655172413793,97.46551724137932,21.36206896551724,25.0,24.6,50.0,5700.637931034483,3551.655172413793,124.44827586206895,27.86206896551724,30.72222222222222,29.160714285714285,38.07575757575758,330637.0,205996.0,7218.0,313,190.6809163093566,658.1341853035144,23.06070287539936
convnet_L6_F480_K4x4_W85_DWS,6,40945981,1197171,9523895926,dws,85,1772.155172413793,174.0,0.0,4.0344827586206895,96.10344827586206,24.344827586206897,25.0,24.6,50.0,5811.103448275862,3618.0172413793102,129.22413793103448,27.678571428571427,30.807692307692307,29.1890243902439,38.54,337044.0,209845.0,7495.0,282,211.9616198539733,744.1312056737588,26.578014184397162
convnet_L6_F480_K4x4_W90_DWS,6,45433981,1197171,10623736261,dws,90,1793.0,174.0,0.0,3.98728813559322,94.76271186440678,33.67796610169491,25.0,24.8125,50.0,6011.457627118644,3558.2203389830506,126.8135593220339,27.77777777777778,30.548387096774192,29.175,38.30555555555556,354676.0,209935.0,7482.0,241,247.8935742378235,871.0995850622406,31.04564315352697
convnet_L6_F480_K4x4_W95_DWS,6,50161981,1197171,11783675146,dws,95,1817.6440677966104,174.0,0.0,3.733050847457627,97.15254237288136,24.322033898305083,25.0,24.423076923076923,50.0,5878.593220338983,3652.915254237288,128.38983050847455,27.633333333333333,30.866666666666667,29.24019607843137,38.12068965517241,346837.0,215522.0,7575.0,229,262.6340174674987,941.1441048034934,33.07860262008734
convnet_L6_F480_K4x4_W100_DWS,6,55129981,1197171,13003712581,dws,100,1837.379310344828,174.0,0.0,3.853448275862069,96.6206896551724,22.448275862068964,25.0,24.82758620689655,50.0,5705.568965517241,3514.586206896552,126.53448275862068,28.25,30.9,29.5,39.02941176470589,330923.0,203846.0,7339.0,205,292.5801181793213,994.3707317073171,35.8
convnet_L6_F480_K5x5_W30_DWS,6,5538808,1218798,1101238210,dws,30,1619.0,174.0,0.0,10.63135593220339,88.62711864406779,25.89830508474576,25.0,24.74074074074074,50.0,5398.169491525424,3166.864406779661,172.52542372881356,27.666666666666668,30.392857142857142,28.9375,38.02,318492.0,186845.0,10179.0,1734,33.1588625907897,107.75374855824683,5.870242214532872
convnet_L6_F480_K5x5_W35_DWS,6,7098808,1218798,1498907560,dws,35,1628.0,174.0,0.0,10.320175438596491,84.57894736842105,20.50877192982456,25.0,24.79310344827586,50.0,5499.649122807017,3392.59649122807,166.73684210526315,27.571428571428573,30.5,29.13372093023256,38.274193548387096,313480.0,193378.0,9504.0,1449,41.686141490936194,133.45617667356797,6.559006211180124
convnet_L6_F480_K5x5_W40_DWS,6,8898808,1218798,1957756810,dws,40,1633.0,174.0,0.0,8.818965517241379,86.55172413793103,20.43103448275862,25.0,24.85,50.0,5520.344827586207,3446.051724137931,158.1551724137931,27.666666666666668,30.8,29.18,38.52777777777778,320180.0,199871.0,9173.0,1160,54.632110595703104,172.30258620689656,7.9077586206896555
convnet_L6_F480_K5x5_W45_DWS,6,10938808,1218798,2477785960,dws,45,1643.0,174.0,0.0,7.283898305084746,90.96610169491524,29.966101694915253,25.0,24.869565217391305,50.0,5760.0,3434.35593220339,141.08474576271186,27.89655172413793,30.666666666666668,29.295454545454547,38.38235294117647,339840.0,202627.0,8324.0,893,68.2363629341125,226.90593505039195,9.321388577827548
convnet_L6_F480_K5x5_W50_DWS,6,13218808,1218798,3058995010,dws,50,1657.5272727272727,174.0,0.0,6.327272727272727,93.74545454545456,24.6,25.0,24.75,50.0,5548.2,3345.6,136.0,27.966666666666665,30.74074074074074,29.275641025641026,38.27142857142857,305151.0,184008.0,7480.0,737,80.48528909683219,249.67164179104478,10.149253731343284
convnet_L6_F480_K5x5_W55_DWS,6,15738808,1218798,3701383960,dws,55,1663.050847457627,174.0,0.0,6.334745762711864,91.30508474576273,25.28813559322034,25.0,24.75,50.0,5627.9152542372885,3399.322033898305,142.33898305084745,27.88,30.676470588235293,29.23076923076923,38.25,332047.0,200560.0,8398.0,626,96.2816905975341,320.38338658146967,13.415335463258787
convnet_L6_F480_K5x5_W60_DWS,6,18498808,1218798,4404952810,dws,60,1675.0172413793102,174.0,0.0,5.538793103448276,95.93103448275862,30.24137931034483,25.0,24.82758620689655,50.0,5963.551724137931,3648.810344827586,128.31034482758622,28.22222222222222,31.225806451612904,29.43452380952381,38.7,345886.0,211631.0,7442.0,527,113.15183877944939,401.57685009487665,14.121442125237191
convnet_L6_F480_K5x5_W65_DWS,6,21498808,1218798,5169701560,dws,65,1690.0,174.0,0.0,5.370689655172414,95.63793103448276,31.103448275862068,25.0,24.73684210526316,50.0,5994.189655172414,3607.4827586206898,131.82758620689654,28.181818181818183,31.31578947368421,29.68478260869565,38.71052631578947,347663.0,209234.0,7646.0,447,134.19559001922602,468.08501118568233,17.105145413870247
convnet_L6_F480_K5x5_W70_DWS,6,24738808,1218798,5995630210,dws,70,1702.6610169491526,174.0,0.0,6.008474576271187,93.79661016949152,31.10169491525424,25.0,24.63157894736842,50.0,5933.610169491525,3539.610169491525,136.94915254237287,28.33333333333333,31.22222222222222,29.65217391304348,38.62820512820513,350083.0,208837.0,8080.0,388,153.6144232749939,538.2396907216495,20.824742268041238
convnet_L6_F480_K5x5_W75_DWS,6,28218808,1218798,6882738760,dws,75,1717.357142857143,174.0,0.0,4.5,94.875,25.982142857142858,25.0,24.681818181818183,50.0,5729.160714285715,3466.035714285714,125.82142857142856,27.875,30.642857142857142,29.232954545454547,38.82142857142857,320833.0,194098.0,7046.0,342,174.09901142120358,567.5380116959064,20.60233918128655
convnet_L6_F480_K5x5_W80_DWS,6,31938808,1218798,7831027210,dws,80,1734.196428571429,174.0,0.0,4.285714285714286,96.08928571428572,31.053571428571427,25.0,24.692307692307693,50.0,5995.125,3612.125,127.0,27.791666666666668,31.153846153846157,29.371794871794872,38.5625,335727.0,202279.0,7112.0,307,193.9503955841064,658.8892508143323,23.16612377850163
convnet_L6_F480_K5x5_W85_DWS,6,35898808,1218798,8840495560,dws,85,1752.2586206896551,174.0,0.0,4.137931034482759,96.24137931034484,32.05172413793103,25.0,24.8,50.0,6009.137931034483,3613.8275862068967,125.41379310344828,27.807692307692307,30.695652173913043,29.397435897435894,38.625,348530.0,209602.0,7274.0,268,223.7711858749389,782.0970149253732,27.14179104477612
convnet_L6_F480_K5x5_W90_DWS,6,40098808,1218798,9911143810,dws,90,1773.050847457627,174.0,0.0,4.0,97.05084745762711,17.559322033898304,25.0,24.68,50.0,5601.779661016949,3560.983050847457,125.76271186440678,27.64,30.724137931034484,28.98076923076923,38.472972972972975,330505.0,210098.0,7420.0,253,237.4364113807678,830.4268774703557,29.32806324110672
