model_name,file_name,num_inferences,total_time (s),load_time (s),alloc_time (s),inference_time (s),average_latency (s)
convnet_L4_F448_K2x2_W40,convnet_L4_F448_K2x2_W40.trt,622,67.03264594078064,4.740049362182617,7.152557373046875e-07,60.22316265106201,0.09590505327059141
convnet_L4_F448_K2x2_W45,convnet_L4_F448_K2x2_W45.trt,518,67.83294439315796,5.562130451202393,7.152557373046875e-07,60.14539361000061,0.11514030184064593
convnet_L4_F448_K2x2_W50,convnet_L4_F448_K2x2_W50.trt,450,67.8842031955719,5.547990083694458,1.1920928955078125e-06,60.21962809562683,0.13282274193233914
convnet_L4_F448_K2x2_W55,convnet_L4_F448_K2x2_W55.trt,407,67.97761249542236,5.6482367515563965,4.76837158203125e-07,60.21888256072998,0.1469356076430337
convnet_L4_F448_K2x2_W60,convnet_L4_F448_K2x2_W60.trt,344,67.47126841545105,5.044626235961914,7.152557373046875e-07,60.292752265930176,0.17423070724620376
convnet_L4_F448_K2x2_W65,convnet_L4_F448_K2x2_W65.trt,302,67.84992146492004,5.3750128746032715,7.152557373046875e-07,60.23473334312439,0.19833520706126231
convnet_L4_F448_K2x2_W70,convnet_L4_F448_K2x2_W70.trt,267,68.2442798614502,5.741476774215698,4.76837158203125e-07,60.279247760772705,0.22456733742903234
convnet_L4_F448_K2x2_W75,convnet_L4_F448_K2x2_W75.trt,236,68.94858765602112,5.760234832763672,4.76837158203125e-07,60.230835914611816,0.25394690844972256
convnet_L4_F448_K2x2_W80,convnet_L4_F448_K2x2_W80.trt,213,67.7631094455719,5.17963719367981,4.76837158203125e-07,60.373037576675415,0.28214939994991106
convnet_L4_F448_K2x2_W85,convnet_L4_F448_K2x2_W85.trt,191,67.67685461044312,5.214801788330078,9.5367431640625e-07,60.32720398902893,0.31449913479270736
convnet_L4_F448_K2x2_W90,convnet_L4_F448_K2x2_W90.trt,173,67.58823156356812,5.138554573059082,4.76837158203125e-07,60.21624517440796,0.3465986114016847
convnet_L4_F448_K2x2_W95,convnet_L4_F448_K2x2_W95.trt,139,68.05852150917053,5.1825292110443115,7.152557373046875e-07,60.41727638244629,0.43300364171858313
convnet_L4_F448_K3x3_W20,convnet_L4_F448_K3x3_W20.trt,2036,65.47783064842224,5.174191236495972,7.152557373046875e-07,60.127710819244385,0.028859756550292368
convnet_L4_F448_K3x3_W25,convnet_L4_F448_K3x3_W25.trt,1555,65.42782139778137,5.028670787811279,4.76837158203125e-07,60.131762742996216,0.037944804280517185
convnet_L4_F448_K3x3_W30,convnet_L4_F448_K3x3_W30.trt,1492,66.10434746742249,5.732647657394409,7.152557373046875e-07,60.152164936065674,0.039623226301280165
convnet_L4_F448_K3x3_W35,convnet_L4_F448_K3x3_W35.trt,915,66.10012865066528,5.68989372253418,7.152557373046875e-07,60.11242341995239,0.06494982880972773
convnet_L4_F448_K3x3_W40,convnet_L4_F448_K3x3_W40.trt,862,65.432612657547,5.026866674423218,4.76837158203125e-07,60.11482906341553,0.06896976390183664
convnet_L4_F448_K3x3_W45,convnet_L4_F448_K3x3_W45.trt,737,65.58316469192505,5.179170370101929,4.76837158203125e-07,60.117873191833496,0.08075658598942544
convnet_L4_F448_K3x3_W50,convnet_L4_F448_K3x3_W50.trt,485,65.7647008895874,5.061218023300171,4.76837158203125e-07,60.22462296485901,0.12325896921846055
convnet_L4_F448_K3x3_W55,convnet_L4_F448_K3x3_W55.trt,469,65.77429366111755,5.158807754516602,7.152557373046875e-07,60.119709491729736,0.12727336487027882
convnet_L4_F448_K3x3_W60,convnet_L4_F448_K3x3_W60.trt,413,65.7613730430603,5.0886054039001465,7.152557373046875e-07,60.23319864273071,0.14496086584742363
convnet_L4_F448_K3x3_W65,convnet_L4_F448_K3x3_W65.trt,304,65.98487067222595,5.204462766647339,7.152557373046875e-07,60.30500841140747,0.19730981556992783
convnet_L4_F448_K3x3_W70,convnet_L4_F448_K3x3_W70.trt,295,65.90537452697754,5.3040220737457275,7.152557373046875e-07,60.13506484031677,0.20276764368606826
convnet_L4_F448_K3x3_W75,convnet_L4_F448_K3x3_W75.trt,266,65.65040469169617,4.9466025829315186,9.5367431640625e-07,60.21417856216431,0.2252653604163263
convnet_L4_F448_K3x3_W80,convnet_L4_F448_K3x3_W80.trt,264,66.28221344947815,5.429023265838623,4.76837158203125e-07,60.275779485702515,0.22720082329981256
convnet_L4_F448_K3x3_W85,convnet_L4_F448_K3x3_W85.trt,210,66.13097548484802,5.297772645950317,4.76837158203125e-07,60.31836438179016,0.2859687464577811
convnet_L4_F448_K3x3_W90,convnet_L4_F448_K3x3_W90.trt,191,66.1444480419159,5.451283931732178,9.5367431640625e-07,60.14406657218933,0.31357150427333974
convnet_L4_F448_K3x3_W95,convnet_L4_F448_K3x3_W95.trt,188,66.6266496181488,5.475018262863159,9.5367431640625e-07,60.16974377632141,0.3187131577349724
convnet_L4_F448_K4x4_W15,convnet_L4_F448_K4x4_W15.trt,1327,65.91422867774963,5.5535972118377686,7.152557373046875e-07,60.13905048370361,0.044618811567834024
convnet_L4_F448_K4x4_W20,convnet_L4_F448_K4x4_W20.trt,912,66.03202414512634,5.513704776763916,7.152557373046875e-07,60.1638970375061,0.06520142628435503
convnet_L4_F448_K4x4_W25,convnet_L4_F448_K4x4_W25.trt,649,65.99415731430054,5.473106861114502,4.76837158203125e-07,60.147393226623535,0.09181909862394877
convnet_L4_F448_K4x4_W30,convnet_L4_F448_K4x4_W30.trt,489,66.29012751579285,5.6035425662994385,7.152557373046875e-07,60.23059368133545,0.12227316478034958
convnet_L4_F448_K4x4_W35,convnet_L4_F448_K4x4_W35.trt,375,65.94335389137268,5.096687078475952,7.152557373046875e-07,60.165470361709595,0.15944300969441733
convnet_L4_F448_K4x4_W40,convnet_L4_F448_K4x4_W40.trt,302,66.29240083694458,5.618453741073608,4.76837158203125e-07,60.2279109954834,0.19835675710084422
convnet_L4_F448_K4x4_W45,convnet_L4_F448_K4x4_W45.trt,246,65.76329159736633,5.117989540100098,7.152557373046875e-07,60.123626470565796,0.24323043396802452
convnet_L4_F448_K4x4_W50,convnet_L4_F448_K4x4_W50.trt,203,66.85086679458618,5.598031520843506,7.152557373046875e-07,60.21603012084961,0.2953802071181424
convnet_L4_F448_K4x4_W55,convnet_L4_F448_K4x4_W55.trt,172,66.23871111869812,5.0952064990997314,7.152557373046875e-07,60.32384204864502,0.34934763021247334
convnet_L4_F448_K4x4_W60,convnet_L4_F448_K4x4_W60.trt,147,66.74800968170166,5.873314619064331,7.152557373046875e-07,60.27972221374512,0.40860050876124376
convnet_L4_F448_K4x4_W65,convnet_L4_F448_K4x4_W65.trt,126,66.6957356929779,5.100203037261963,9.5367431640625e-07,60.24863624572754,0.47649905038258383
convnet_L4_F512_K1x1_W45,convnet_L4_F512_K1x1_W45.trt,1096,68.26199316978455,6.0615551471710205,7.152557373046875e-07,60.169368743896484,0.05420878681823285
convnet_L4_F512_K1x1_W55,convnet_L4_F512_K1x1_W55.trt,772,67.01500415802002,5.047926425933838,9.5367431640625e-07,60.14049220085144,0.07705359662752695
convnet_L4_F512_K1x1_W65,convnet_L4_F512_K1x1_W65.trt,584,67.14142870903015,5.127671718597412,7.152557373046875e-07,60.17489981651306,0.10216143237401361
convnet_L4_F512_K1x1_W75,convnet_L4_F512_K1x1_W75.trt,499,68.13017630577087,5.930922746658325,7.152557373046875e-07,60.14596080780029,0.11955056639615902
convnet_L4_F512_K1x1_W85,convnet_L4_F512_K1x1_W85.trt,400,67.7682056427002,5.373587369918823,7.152557373046875e-07,60.17864656448364,0.1494225037097931
convnet_L4_F512_K1x1_W95,convnet_L4_F512_K1x1_W95.trt,338,67.23169112205505,5.1240010261535645,9.5367431640625e-07,60.256664991378784,0.17718555588694013
convnet_L4_F512_K2x2_W25,convnet_L4_F512_K2x2_W25.trt,836,66.88443970680237,4.851608037948608,7.152557373046875e-07,60.17584466934204,0.07118271070233943
convnet_L4_F512_K2x2_W35,convnet_L4_F512_K2x2_W35.trt,573,67.82069754600525,5.532756328582764,9.5367431640625e-07,60.20749235153198,0.10415026779574249
convnet_L4_F512_K2x2_W45,convnet_L4_F512_K2x2_W45.trt,406,67.18590593338013,4.986532688140869,4.76837158203125e-07,60.264585971832275,0.14737918694031063
convnet_L4_F512_K2x2_W55,convnet_L4_F512_K2x2_W55.trt,313,68.10061025619507,5.5737433433532715,7.152557373046875e-07,60.277896881103516,0.1914382879726422
convnet_L4_F512_K2x2_W65,convnet_L4_F512_K2x2_W65.trt,232,67.4643566608429,5.162984609603882,7.152557373046875e-07,60.304633378982544,0.25864806360211867
convnet_L4_F512_K2x2_W75,convnet_L4_F512_K2x2_W75.trt,187,68.62404227256775,5.839277982711792,7.152557373046875e-07,60.3348491191864,0.32125203239726513
convnet_L4_F512_K2x2_W85,convnet_L4_F512_K2x2_W85.trt,146,68.2784993648529,5.471741676330566,7.152557373046875e-07,60.3989679813385,0.4120433363195968
convnet_L4_F512_K2x2_W95,convnet_L4_F512_K2x2_W95.trt,124,68.17131781578064,5.434554815292358,7.152557373046875e-07,60.4672429561615,0.4858479692089942
convnet_L4_F512_K3x3_W25,convnet_L4_F512_K3x3_W25.trt,1263,66.19431233406067,5.71274995803833,4.76837158203125e-07,60.153125524520874,0.046913020873201906
convnet_L4_F512_K3x3_W35,convnet_L4_F512_K3x3_W35.trt,699,66.4480652809143,5.703006744384766,7.152557373046875e-07,60.14286017417908,0.0852160044494105
convnet_L4_F512_K3x3_W45,convnet_L4_F512_K3x3_W45.trt,565,65.63182210922241,5.183715581893921,7.152557373046875e-07,60.14334034919739,0.10557337229230762
convnet_L4_F512_K3x3_W55,convnet_L4_F512_K3x3_W55.trt,372,66.0525963306427,5.372072458267212,7.152557373046875e-07,60.24462366104126,0.1609153696285781
convnet_L4_F512_K3x3_W65,convnet_L4_F512_K3x3_W65.trt,235,66.40688037872314,5.2139575481414795,7.152557373046875e-07,60.34922242164612,0.25569303390827586
