Model Name,Average Inference Time (seconds),Model Load Time (seconds),Allocation Time (seconds)
convnet_L2_F256_K3x3_W95,0.07050856828689575,1.1920928955078125e-06,0.000690460205078125
convnet_L2_F256_K4x4_W45,0.04172188997268677,9.5367431640625e-07,0.0006079673767089844
convnet_L2_F256_K4x4_W55,0.0514098334312439,2.86102294921875e-06,0.0010142326354980469
convnet_L2_F256_K4x4_W65,0.06848942756652832,2.1457672119140625e-06,0.00118255615234375
convnet_L2_F256_K4x4_W75,0.08948253154754639,1.6689300537109375e-06,0.0006306171417236328
convnet_L2_F256_K4x4_W85,0.11413398504257202,1.1920928955078125e-06,0.0006415843963623047
convnet_L2_F320_K2x2_W100,0.13993288278579713,1.1920928955078125e-06,0.0006906986236572266
convnet_L2_F320_K2x2_W65,0.055226457118988034,1.6689300537109375e-06,0.0006709098815917969
convnet_L2_F320_K2x2_W70,0.05694382905960083,1.6689300537109375e-06,0.0007002353668212891
convnet_L2_F320_K2x2_W75,0.06536812067031861,1.9073486328125e-06,0.0006701946258544922
convnet_L2_F320_K2x2_W80,0.07643586158752441,1.6689300537109375e-06,0.0006663799285888672
convnet_L2_F320_K2x2_W85,0.11349381685256958,1.6689300537109375e-06,0.0006930828094482422
convnet_L2_F320_K2x2_W90,0.11397535800933838,1.9073486328125e-06,0.0006961822509765625
convnet_L2_F320_K2x2_W95,0.12993037462234497,1.430511474609375e-06,0.0007174015045166016
convnet_L2_F320_K3x3_W100,0.09932079315185546,9.5367431640625e-07,0.0006699562072753906
convnet_L2_F320_K3x3_W50,0.03513590574264527,2.384185791015625e-06,0.0013484954833984375
convnet_L2_F320_K3x3_W55,0.03719864130020142,2.1457672119140625e-06,0.0009253025054931641
convnet_L2_F320_K3x3_W60,0.03766911029815674,1.430511474609375e-06,0.0006368160247802734
convnet_L2_F320_K3x3_W65,0.049457640647888185,1.6689300537109375e-06,0.0006606578826904297
convnet_L2_F320_K3x3_W70,0.05630746603012085,2.1457672119140625e-06,0.001117706298828125
convnet_L2_F320_K3x3_W75,0.0626870846748352,3.814697265625e-06,0.001241445541381836
convnet_L2_F320_K3x3_W80,0.06010741949081421,2.384185791015625e-06,0.0009558200836181641
convnet_L2_F320_K3x3_W85,0.07646694183349609,1.6689300537109375e-06,0.0006439685821533203
convnet_L2_F320_K3x3_W90,0.08930880069732666,3.5762786865234375e-06,0.0008552074432373047
convnet_L2_F320_K3x3_W95,0.08436304330825806,1.430511474609375e-06,0.0006792545318603516
convnet_L2_F320_K4x4_W35,0.035090365409851075,1.430511474609375e-06,0.0006463527679443359
