Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_PMIC,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_AO,Avrg_THERMAL,Avrg_PLL,Avrg_GPU_TEMP,Avrg_CPU_TEMP,Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,num_inferences,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L3_F448_K3x3_W55,3,17178122,10982540810,ConvNet,55,1785.8305084745762,373.0,0.0,4.228813559322034,92.15254237288136,54.15254237288136,25.0,50.0,7281.983050847458,4481.423728813559,130.4915254237288,42.0,32.72872340425532,27.75,31.365853658536587,34.32258064516129,429637.0,264404.0,7699.0,638.0,93.1299614906311,414.4263322884012,12.067398119122258
convnet_L3_F448_K3x3_W60,3,19754122,13070131210,ConvNet,60,1794.9827586206898,373.0,0.0,3.810344827586207,95.48275862068964,56.08620689655172,25.0,50.0,7426.879310344828,4579.0344827586205,121.79310344827586,42.05172413793103,32.81666666666667,27.821428571428573,31.484848484848484,34.58620689655172,430759.0,265584.0,7064.0,565.0,105.8745670318603,470.06017699115046,12.502654867256638
convnet_L3_F448_K3x3_W65,3,22554122,15339251210,ConvNet,65,1810.0,373.0,0.0,3.0254237288135597,95.59322033898304,54.28813559322034,25.0,50.0,7161.338983050848,4351.966101694915,144.79661016949152,41.564516129032256,32.34444444444444,27.642857142857142,31.12903225806452,34.02777777777778,422519.0,256766.0,8543.0,420.0,142.0261192321777,611.347619047619,20.340476190476192
convnet_L3_F448_K3x3_W70,3,25578122,17789900810,ConvNet,70,1819.0,373.0,0.0,3.3728813559322037,96.0,55.28813559322034,25.0,50.0,7470.186440677966,4595.847457627118,131.96610169491527,42.06410256410256,32.73,27.75757575757576,31.433333333333334,34.44827586206897,440741.0,271155.0,7786.0,406.0,147.0536684989929,667.8694581280788,19.177339901477833
convnet_L3_F448_K3x3_W75,3,28826122,20422080010,ConvNet,75,1836.6491228070176,373.0,0.0,3.1973684210526314,94.94736842105264,55.36842105263158,25.0,50.0,7417.912280701755,4581.19298245614,126.03508771929825,42.24358974358975,32.8,27.75675675675676,31.424242424242426,34.55882352941177,422821.0,261128.0,7184.0,364.0,163.7840008735656,717.3846153846154,19.736263736263737
convnet_L3_F448_K3x3_W80,3,32298122,23235788810,ConvNet,80,1849.0,373.0,0.0,3.2838983050847457,96.71186440677968,59.16949152542373,25.0,50.0,7242.118644067797,4243.661016949152,139.3728813559322,41.27777777777778,32.68452380952381,27.59375,31.5,33.86666666666667,427285.0,250376.0,8223.0,352.0,171.8949365615844,711.2954545454545,23.360795454545453
convnet_L3_F448_K3x3_W85,3,35994122,26231027210,ConvNet,85,1867.4237288135596,373.0,0.0,3.135593220338983,96.66101694915254,55.67796610169491,25.0,50.0,7478.8983050847455,4575.64406779661,145.77966101694915,41.94117647058823,32.760416666666664,27.657894736842103,31.4,34.925925925925924,441255.0,269963.0,8601.0,278.0,214.6511602401733,971.089928057554,30.93884892086331
convnet_L3_F448_K3x3_W90,3,39914122,29407795210,ConvNet,90,1882.0,373.0,0.0,2.444915254237288,96.52542372881356,48.45762711864407,25.0,50.0,7085.627118644068,4486.169491525424,147.79661016949152,42.14705882352941,32.75,27.685714285714287,31.323529411764707,34.86206896551724,418052.0,264684.0,8720.0,267.0,223.1649518013,991.3258426966293,32.659176029962545
convnet_L3_F448_K3x3_W95,3,44058122,32766092810,ConvNet,95,1902.0,373.0,0.0,3.1822033898305087,97.59322033898304,56.23728813559322,25.0,50.0,7515.677966101695,4584.71186440678,157.35593220338984,41.74242424242424,32.66489361702128,27.676470588235293,31.38235294117647,34.72727272727273,443425.0,270498.0,9284.0,247.0,242.1391105651855,1095.1336032388665,37.587044534412954
convnet_L3_F448_K3x3_W100,3,48426122,36305920010,ConvNet,100,1924.0,373.0,0.0,2.6779661016949152,97.57627118644068,57.10169491525424,25.0,50.0,7474.661016949152,4539.28813559322,131.20338983050848,41.43333333333333,32.0625,27.11111111111111,30.580645161290324,33.6764705882353,441005.0,267818.0,7741.0,205.0,293.9159870147705,1306.429268292683,37.760975609756095
convnet_L3_F448_K4x4_W40,3,14728906,11649100298,ConvNet,40,1746.0,373.0,0.0,3.288135593220339,96.0677966101695,16.677966101694917,25.0,50.0,6755.254237288135,4663.508474576272,130.47457627118644,43.13636363636363,33.2093023255814,27.735294117647054,31.545454545454547,35.27272727272727,398560.0,275147.0,7698.0,446.0,133.6374855041504,616.9215246636771,17.260089686098656
