Model Name,Layers,Total Parameters,Total MACs,Network Type,Input Size,Avrg_RAM,Avrg_SWAP,Avrg_IRAM,Avrg_CPU,Avrg_GPU,Avrg_EMC_FREQ,Avrg_APE,Avrg_CPU_TEMP,Avrg_PMIC,Avrg_THERMAL,Avrg_POM_5V_IN,Avrg_POM_5V_GPU,Avrg_POM_5V_CPU,Avrg_PLL,Avrg_AO,Avrg_GPU_TEMP,num_inferences,Average Inference Time (seconds),Total_POM_5V_IN,Total_POM_5V_GPU,Total_POM_5V_CPU,average_latency(ms),GPU_energy_per_inference,CPU_energy_per_inference
convnet_L7_F512_K1x1_W100,7,68117514,18829928458,ConvNet,100,2427.593220338983,469.0,0.0,4.004237288135593,95.72881355932203,30.25423728813559,25.0,33.63636363636363,50.0,31.8936170212766,5956.050847457627,3617.847457627119,130.89830508474577,27.272727272727277,41.14516129032258,30.48148148148148,181,0.349270505905151,351407.0,213453.0,7723.0,332.03272581100464,1179.2983425414366,42.668508287292816
convnet_L7_F512_K2x2_W30,7,19618314,12096617482,ConvNet,30,2011.8135593220336,469.0,0.0,4.572033898305085,96.0,20.35593220338983,25.0,33.95454545454545,50.0,32.15425531914894,6209.067796610169,4102.152542372882,142.66101694915255,27.166666666666668,42.05555555555556,30.625,311,0.192367601394653,366335.0,242027.0,8417.0,192.759850025177,778.2218649517685,27.064308681672024
convnet_L7_F512_K2x2_W40,7,25352714,18213102602,ConvNet,40,2057.0,469.0,0.0,4.220338983050848,96.84745762711864,20.42372881355932,25.0,34.233333333333334,50.0,32.32386363636363,6453.220338983051,4331.64406779661,128.0677966101695,27.594594594594597,42.41176470588236,30.923076923076923,232,0.262828640937805,380740.0,255567.0,7556.0,258.5883665084839,1101.5818965517242,32.56896551724138
convnet_L7_F512_K2x2_W50,7,32111114,25590848522,ConvNet,50,2107.0,469.0,0.0,3.1440677966101696,97.94915254237289,21.47457627118644,25.0,34.73529411764706,50.0,32.82065217391305,6654.152542372882,4488.949152542373,136.27118644067798,27.689655172413797,43.138888888888886,31.258064516129032,176,0.343946301937103,392595.0,264848.0,8040.0,341.8919372558593,1504.8181818181818,45.68181818181818
convnet_L7_F512_K2x2_W60,7,39893514,34229855242,ConvNet,60,2174.0,469.0,0.0,3.364406779661017,97.1186440677966,22.440677966101696,25.0,35.166666666666664,50.0,33.12765957446808,6744.576271186441,4560.067796610169,130.03389830508473,28.0,43.60714285714285,31.464285714285715,131,0.463025236129761,397930.0,269044.0,7672.0,457.2768712043762,2053.7709923664124,58.56488549618321
convnet_L7_F512_K2x2_W70,7,48699914,44130122762,ConvNet,70,2252.948275862069,469.0,0.0,2.952586206896552,98.22413793103448,23.310344827586206,25.0,35.333333333333336,50.0,33.56111111111111,6831.620689655172,4645.310344827586,129.91379310344828,28.11111111111111,44.023809523809526,31.9,103,0.586124186515808,396234.0,269428.0,7535.0,584.4441342353821,2615.8058252427186,73.15533980582525
convnet_L7_F512_K4x4_W20,7,28926474,15195835402,ConvNet,20,1843.0,469.0,0.0,3.2033898305084745,96.05084745762711,11.71186440677966,25.0,36.43478260869565,50.0,34.46,6645.8983050847455,4671.627118644068,132.05084745762713,28.973684210526315,45.1578947368421,32.69565217391305,352,0.170161993503571,392108.0,275626.0,7791.0,170.313549041748,783.0284090909091,22.133522727272727
convnet_L7_F512_K4x4_W30,7,32203274,30061806602,ConvNet,30,1871.0,468.0,0.0,2.7155172413793105,96.44827586206895,10.810344827586206,25.0,35.903225806451616,50.0,34.02272727272727,6692.844827586207,4754.086206896552,126.32758620689656,28.52,44.42857142857143,31.9,186,0.320477969646454,388185.0,275737.0,7327.0,321.8811297416687,1482.4569892473119,39.39247311827957
convnet_L7_F512_K4x4_W40,7,36504074,49967598602,ConvNet,40,1909.949152542373,468.0,0.0,2.3389830508474576,98.45762711864408,12.627118644067796,25.0,35.95652173913044,50.0,34.21022727272727,6847.28813559322,4834.203389830508,123.45762711864408,28.3,44.71739130434783,31.964285714285715,117,0.517875711917877,403990.0,285218.0,7284.0,514.5694994926453,2437.7606837606836,62.256410256410255
convnet_L7_F1024_K1x1_W40,7,36161546,15231094794,ConvNet,40,2266.0,473.0,0.0,4.526315789473684,96.66666666666669,32.578947368421055,25.0,34.70967741935484,50.0,33.06410256410256,6286.894736842105,4008.561403508772,135.7719298245614,28.0,42.78125,31.384615384615383,276,0.227113008499145,358353.0,228488.0,7739.0,218.1747603416443,827.8550724637681,28.03985507246377
